,P5 gd:1927,P4:3799,MFI:457,P5 gd:1625,P1:10321,MFI:160,P1:13393,P5 gd:524,P4:5290,P7 Mono:1287,P1:773,P4:6227,P7:107,MFI:8,P4:82,P1:22213,MFI:469
0,0.0003126718789756844,7.637818519776185e-05,0.0005004240404404836,0.004081687032380571,-0.000864186183937854,0.0005176887869491886,0.0001924556675778344,0.009636162700306122,0.008491279789259981,0.007742883024953212,0.007048433214262434,0.006563767847555274,0.009224572106112744,0.009812236384679651,0.013221204056953872,0.010193895159148036,0.03361205393324121
1,0.0011823339544865807,0.0022947283929613815,0.0005790358966597797,-0.00019500435767635937,0.0013066590245131848,0.0038219730747273695,0.002251823915079637,0.003228598536980931,-0.0016762485393548854,0.0051926976259517865,0.00982747422242275,0.010199882143245909,0.005653677879627644,0.012707325729284957,0.006541717127865387,0.0053300552746453345,0.020188659229478406
2,-0.0015074337016678097,0.00166608894250736,0.002516956619219163,0.003728759878996901,0.0027892756849418887,0.004540177910200172,0.0028558381416424194,0.003502070509775801,0.004543474262547448,0.006702504393573616,0.005283169575894725,0.0010555247701788117,0.00860823471266356,0.005145324084003033,0.016486850996731334,0.013682705102982196,0.03249036368874475
3,0.0004289947867567312,-0.000584201883293306,0.0007235515215330834,0.002591725712588283,0.005389905563866426,0.0038346670316450338,0.006579184408285338,0.005531070448488468,0.0035662202155461453,0.006124116048886963,0.004684456799055825,0.0006050076318002418,0.0032744493005670283,0.007971063582765253,0.013176132675420282,0.016245429936961986,0.015925248199857106
4,0.002127641503834682,-0.0019154664059032322,0.002101301841882064,0.004950162834474026,0.0033152990362549928,0.005294208798756528,0.0032408982543085385,-0.0010315744479188205,0.013440064283173792,0.0026307128879844155,0.0009077737098377447,0.00796154615530395,0.00850481525686067,0.005592548711160383,0.011870453675490028,0.012716190348674938,0.03265439250808452
5,-0.0029525970550522695,0.002929911884278741,0.000616323126826468,0.0013251714028587602,0.0031266424305030627,0.008367161713025595,0.004782756189476933,0.0007342633305588153,0.005646051548262726,0.005071416038287702,0.007460261463600293,0.011144655164984224,0.011408235717000587,0.003981442046332967,0.008496762308068811,0.012001729795754118,0.02697813020762657
6,0.0003856959785746017,-0.0008649310790640463,0.005512765461704733,-0.00011454383720477246,0.005377392084386673,0.0087360367542261,0.002664700541001319,0.0027339996761199248,0.005229909104205788,0.006684640302365374,0.005499127882856475,0.007389255831416031,0.009008423125751203,0.003303825162740248,0.01000191420368221,0.02340364057365643,0.03455455272581626
7,-0.0021982228105552615,-0.00042283254523323155,0.0027033372750068507,-0.0019772961950963175,0.004150357510011055,0.0004877415543171615,0.0028847588250271172,0.007047621977070262,0.006351796696503265,0.0049646685068484575,0.007416054773524167,0.012378707382399878,0.005576140436419935,0.006023440120000639,0.010631277872883288,0.005711752954845134,0.020094422869558926
8,-0.0011321336377020097,0.004029903280152652,0.0010344840197465122,0.0023205287009085973,-0.0008018622757642868,8.910969682615622e-05,0.00457299662913066,0.0024712840574304396,-0.004109609976414186,0.0057867551480212664,0.007248552189424606,-0.003252734774504218,0.0050643877244472835,0.012099378851648357,0.007893971559154694,0.003860629546193428,0.02238458338006985
9,-0.0014884874371709489,-0.001532422939876238,0.0013823610011690912,0.0017372961744542281,0.0017205833009529548,-0.0012191059586745545,0.005402011822230185,0.004928309018930405,0.007216761464601401,0.0010604381871580637,0.007713315853317582,0.009893023788488553,0.006872896451343757,0.006926645271548487,0.010322715352019202,0.011217459733022739,0.026525395133932428
