,0
baseline,-0.2271962598183634
avg_neg_mae_tt,-0.16266469293114655
avg_neg_mae_vv,-0.18478321265712727
avg_neg_mae_tv,-0.20759813915701106
data_source,Analysis/RandomForest/20042023_c0.95_100/r_forest_fs_bs_candidate_features_100_20042023_1.csv
partition_training_dataset,True
fs_bs_filter,1
features,"['P4:3799', 'P1:22213', 'MFI:469', 'P1:9862', 'P5 gd:1759', 'P1:22913', 'P1:9908', 'P1:20790', 'P1:22232', 'P2:5231', 'P1:6130', 'P5 gd:1658', 'P1:12372', 'P5 gd:1966', 'P2:8332', 'P1:22834', 'MFI:311', 'P1:22240', 'P2:20950', 'P1:21497', 'P3:30', 'P7 Mono:3409', 'P6 earlyB:4', 'P1:495', 'P2:54', 'Lin:14', 'P1:22128', 'P1:7771', 'P1:22214', 'P4:3793', 'P7 Mono:1890', 'P1:10573', 'P5 gd:1832', 'P4:5806', 'P2:20914', 'MFI:6', 'P1:9707', 'P1:7515', 'P1:7770', 'P1:4514', 'P5 gd:1993', 'P1:4428', 'P1:22903', 'P1:4833', 'P3:7720', 'P2:20911', 'P4:3225', 'P4:5281', 'P1:4004', 'MFI:488', 'P5 gd:451', 'P7 Mono:5197', 'P7:57', 'P1:5938', 'P2:9216', 'P1:232', 'P5 gd:1867', 'P1:6461', 'P1:9464', 'P2:22794', 'P2:8413', 'P5 gd:1727', 'P4:5521']"
