,0
baseline,-0.21271652061418272
avg_neg_mae_tt,-0.13718245760514272
avg_neg_mae_vv,-0.15192551359540285
avg_neg_mae_tv,-0.2099357319619541
data_source,Analysis/RandomForest/May/24052023/25052023_7/rf_fs_bs_candidate_features_200_25052023_7.csv
partition_training_dataset,True
fs_bs_filter,2
n_splits,4
n_repeats,5
random_state,336
impute,True
standardise,True
normalise,True
strategy,mean
max_depth,11
n_estimators,60
max_features,0.4
max_samples,0.5
bootstrap,True
min_samples_split,10
features,"['MFI:469', 'P4:3799', 'P5 gd:1778', 'MFI:91', 'MFI:149', 'P1:20820', 'P1:9862', 'P5 gd:58', 'P2:17750', 'P1:22915', 'P2:23133', 'P4:5520', 'P2:22065', 'P7:57', 'P1:12372', 'P1:9908', 'P1:495', 'MFI:503', 'P4:3463', 'P5 gd:596', 'P2:154', 'P1:16464', 'P4:4823', 'P3:5452', 'P2:17432', 'P2:11259', 'P5 gd:1118', 'P2:17747', 'P2:3693', 'P1:1863', 'P7 Mono:6556', 'P7 Mono:1890', 'P2:4840', 'P5 gd:562', 'P1:6515', 'P1:16899', 'P1:263', 'P3:935', 'P7 Mono:5412', 'P5 gd:1895', 'P5 gd:1786', 'P1:7951', 'P2:8607', 'MFI:27', 'P2:17666', 'P2:17675', 'P1:20789', 'P1:6130', 'P3:5903', 'P1:22240', 'P1:21497']"
