,0
baseline,-0.2190913738115729
avg_neg_mae_tt,-0.1419231832024802
avg_neg_mae_vv,-0.155028687073876
avg_neg_mae_tv,-0.20534060199429427
data_source,Analysis/RandomForest/May/24052023/25052023_7/rf_fs_bs_candidate_features_75_25052023_7.csv
partition_training_dataset,True
fs_bs_filter,2
n_splits,4
n_repeats,5
random_state,336
impute,True
standardise,True
normalise,True
strategy,mean
max_depth,11
n_estimators,60
max_features,0.4
max_samples,0.5
bootstrap,True
min_samples_split,10
features,"['MFI:469', 'P1:22213', 'P2:19837', 'P4:3799', 'P2:8332', 'P7 Mono:9', 'P7 Mono:6487', 'P5 gd:1778', 'P7 Mono:5918', 'P5 gd:1966', 'P2:1844', 'MFI:149', 'P1:9862', 'P4:3718', 'P1:22915', 'MFI:68', 'P4:5520', 'P2:22065', 'P7:57', 'P4:5685', 'MFI:236', 'P1:9908', 'P4:5325', 'P5 gd:224', 'P1:495', 'P1:22834']"
