,0
MFI:469,0.008990824631070241
P1:20790,0.003409014681536258
P1:4229,0.0033031420967208716
P1:22232,0.0029506827938441116
P1:3527,0.0023691716100286042
P4:3799,0.002304707901012809
P2:12410,0.0022403072984975092
MFI:236,0.0022374445912815124
P1:22229,0.0021557991085850207
P2:22439,0.001904975319929327
P1:154,0.0019002205583683763
P3:7408,0.001784862949323045
P7 Mono:1998,0.0016653603041393344
P5 CD8:212,0.0016577623974058026
P1:20739,0.0016416297681119117
P1:6044,0.0016021135866595025
P2:11955,0.0015845862206211765
MFI:149,0.0015595895175034877
P3:3469,0.0015510906735992844
P4:3772,0.0015439592047751215
P3:3948,0.0015063168449225227
P1:20308,0.001465351860526592
P2:24602,0.0014579359766027688
MFI:232,0.0014484442621524529
P1:7340,0.0014200403252121888
P2:7970,0.0014091107483163211
P2:25263,0.00139380300531871
MFI:6,0.0013803065620639435
P5 gd:441,0.0013354923655382487
P2:8664,0.0013141642161616683
P1:5646,0.0012929170059967619
P4:5254,0.0012825336228636324
P1:10546,0.0012391140922230826
P2:23141,0.001207153704018067
P1:5682,0.0011912761663763788
P6 earlyB:192,0.0011761314288029742
P5 gd:1141,0.0011720898712239028
P2:3686,0.0011549867931638894
P1:10564,0.0011472692991855468
MFI:384,0.0011452810389184285
P1:12681,0.0011403821722510703
P5 gd:2078,0.0011294793467264443
P5 gd:1481,0.0011284129352508233
P1:22543,0.0011253774292212242
P1:7999,0.0011244183788164223
P1:5336,0.001123896393156825
P6:237,0.001103490330213631
P5 gd:1136,0.0010946626147875125
P4:5524,0.0010939604802787314
P1:22231,0.0010923448310047176
MFI:486,0.0010815853530573966
P1:7087,0.0010689148855728078
P1:6022,0.001010786987382235
P1:5680,0.0010105215373424272
P2:25506,0.0010100668798856114
P2:4877,0.001007011329258607
P5 CD8:41,0.0009906722383922718
P3:3960,0.0009883775599472022
MFI:27,0.0009841649921173317
P1:6128,0.0009740371584905904
MFI:238,0.0009713050311023039
P2:20214,0.0009628323167443052
P1:8709,0.0009614883357659541
MFI:227,0.0009524100317218562
P1:12660,0.0009513511881724905
P1:9665,0.0009510409827632485
P1:20699,0.0009467291633337967
P1:13566,0.0009273456656599083
P1:6113,0.0009272931679866378
P3:7615,0.0009243430396454587
MFI:439,0.0009162495469315407
P2:19988,0.000914994741939623
P2:12256,0.0009144615778742557
P2:20345,0.000913172778879942
P1:6319,0.0009109702387749173
