26032023,,,,27032023,,,28032023
,0,,,0,,,0
MFI:469,0.006409076,,MFI:469,0.0125534,,MFI:469,0.008990825
P1:20790,0.002903713,,P1:20790,0.005578388,,P1:20790,0.003409015
P1:4229,0.002138819,,P1:4229,0.003887162,,P1:4229,0.003303142
P2:12410,0.002065679,,P2:12410,0.003665957,,P1:22232,0.002950683
P1:22240,0.002002326,,P1:22232,0.003097633,,P1:3527,0.002369172
P1:22213,0.001945209,,P7 Mono:1998,0.002725135,,P4:3799,0.002304708
P4:5254,0.00182831,,MFI:236,0.002548948,,P2:12410,0.002240307
P1:22232,0.001750203,,P4:3772,0.002526479,,MFI:236,0.002237445
,,,,,,,
P7 Mono:1466,0.001641863,,P1:20308,0.002397848,,P1:22229,0.002155799
P7 Mono:1998,0.001635822,,P2:24602,0.002385713,,P2:22439,0.001904975
P4:3799,0.001625489,,P4:3799,0.002321249,,P1:154,0.001900221
P2:22439,0.001438699,,P2:7970,0.002301466,,P3:7408,0.001784863
MFI:232,0.001415605,,MFI:6,0.002258683,,P7 Mono:1998,0.00166536
P1:22229,0.001400217,,P5 gd:441,0.002118641,,P5 CD8:212,0.001657762
P1:7340,0.001346959,,P4:5254,0.002098691,,P1:20739,0.00164163
P1:6128,0.001236804,,P1:22229,0.002080565,,P1:6044,0.001602114
MFI:149,0.001215856,,P2:3686,0.001889978,,P2:11955,0.001584586
P1:20308,0.001199692,,MFI:384,0.001874096,,MFI:149,0.00155959
MFI:261,0.001177907,,P5 gd:1481,0.001846494,,P3:3469,0.001551091
P6 earlyB:235,0.001175497,,P1:154,0.001806864,,P4:3772,0.001543959
P1:6044,0.001172218,,P4:5524,0.001790117,,P3:3948,0.001506317
P2:11726,0.001157358,,P1:5680,0.001653581,,P1:20308,0.001465352
P2:2362,0.001064675,,P2:25506,0.001652837,,P2:24602,0.001457936
P1:5682,0.001054364,,P2:22439,0.001648176,,MFI:232,0.001448444
P2:11956,0.001045208,,P3:3960,0.001617345,,P1:7340,0.00142004
P1:22210,0.001019985,,MFI:27,0.001610452,,P2:7970,0.001409111
P1:25297,0.00098639,,P1:6128,0.001593879,,P2:25263,0.001393803
P4:4785,0.000979163,,P1:20699,0.001549193,,MFI:6,0.001380307
P1:13557,0.000971812,,P1:6044,0.001547444,,P5 gd:441,0.001335492
P7 Mono:69,0.000965009,,P2:11955,0.001539619,,P2:8664,0.001314164
P5 gd:2005,0.000952396,,P1:13566,0.001517475,,P1:5646,0.001292917
P1:20054,0.000942921,,P1:6113,0.001517389,,P4:5254,0.001282534
