,coef_weight_0,coef_weight_1,coef_weight_2,coef_weight_3,coef_weight_4,coef_weight_mean,label,abs(cwm)
12550,0.0,0.0,0.0,0.0,-0.0023617296716764193,-0.00047234593433528383,P1:2732,0.00047234593433528383
6387,-0.0023588474852423665,0.0,0.0,0.0,0.0,-0.0004717694970484733,P2:801,0.0004717694970484733
659,0.0,0.0,0.0023530973703095267,0.0,0.0,0.0004706194740619053,P7 Mono:5656,0.0004706194740619053
6665,0.0,0.0,0.0023521242095213687,0.0,0.0,0.0004704248419042737,P2:6417,0.0004704248419042737
13949,0.0,0.0,0.0,0.002350273945441008,0.0,0.0004700547890882016,P1:22298,0.0004700547890882016
14788,-0.0023480912624394583,0.0,0.0,0.0,0.0,-0.00046961825248789164,P1:19962,0.00046961825248789164
2295,0.0,0.0,0.0,0.002296410859249126,4.817030962342688e-05,0.00046891623377451054,P5 gd:1775,0.00046891623377451054
14432,0.0,0.002328824181779892,0.0,0.0,0.0,0.0004657648363559784,P1:20898,0.0004657648363559784
13193,0.0,0.002323156856165975,0.0,0.0,0.0,0.000464631371233195,P1:24734,0.000464631371233195
3853,0.0004974739979132387,0.0018195755899124088,0.0,0.0,0.0,0.0004634099175651295,P3:8330,0.0004634099175651295
15510,0.0,0.0023064277055438254,0.0,0.0,0.0,0.0004612855411087651,MFI:80,0.0004612855411087651
2970,0.0,-9.793415591668537e-05,-0.002204073571161283,0.0,0.0,-0.0004604015454155937,P4:5878,0.0004604015454155937
9204,0.0,0.0,0.0022880488161845583,0.0,0.0,0.00045760976323691165,P2:21989,0.00045760976323691165
10690,0.0,0.0,0.0,0.0022866600679172775,0.0,0.0004573320135834555,P2:1000,0.0004573320135834555
2151,0.0,0.0,0.0,0.0,0.0022850056832659457,0.00045700113665318916,P5 gd:2056,0.00045700113665318916
8518,0.0,0.0,0.0,0.0022832420131579582,0.0,0.0004566484026315916,P2:23879,0.0004566484026315916
4548,0.0022730134978941746,0.0,0.0,0.0,0.0,0.00045460269957883493,P3:5912,0.00045460269957883493
6212,0.0,0.0010025844349443906,0.0012681027666589365,0.0,0.0,0.0004541374403206655,P2:862,0.0004541374403206655
11588,-0.0011125123529661125,0.0,-0.0011578138936212746,0.0,0.0,-0.00045406524931747744,P1:6843,0.00045406524931747744
5378,0.0,0.0022649591610662888,0.0,0.0,0.0,0.00045299183221325775,P3:2989,0.00045299183221325775
2164,0.0,0.0,0.0,0.0022647479129857613,0.0,0.0004529495825971523,P5 gd:2033,0.0004529495825971523
11783,-0.0022613879949571775,0.0,0.0,0.0,0.0,-0.0004522775989914355,P1:6057,0.0004522775989914355
13777,0.0,0.0,0.0,0.002256045659189008,0.0,0.0004512091318378016,P1:22799,0.0004512091318378016
9301,0.0,0.0,0.0,0.0,0.0022548567678849964,0.00045097135357699927,P2:21775,0.00045097135357699927
3848,0.00021902611166457384,0.0020357666963227066,0.0,0.0,0.0,0.00045095856159745615,P3:8343,0.00045095856159745615
10855,0.0,0.0,0.0,0.002254390711234814,0.0,0.0004508781422469628,P1:9469,0.0004508781422469628
5625,0.0,0.0,0.0,0.0,-0.002251582373428678,-0.0004503164746857356,P3:1875,0.0004503164746857356
6859,0.0,0.0,0.0022509398621285343,0.0,0.0,0.00045018797242570686,P2:5008,0.00045018797242570686
480,0.002250769838909245,0.0,0.0,0.0,0.0,0.00045015396778184903,P7 Mono:6326,0.00045015396778184903
1747,0.0,0.0,0.0,0.0022461065637249087,0.0,0.00044922131274498174,P5 gd:839,0.00044922131274498174
632,-0.0022436797551412192,0.0,0.0,0.0,0.0,-0.00044873595102824386,P7 Mono:5727,0.00044873595102824386
7427,0.0022292794501206467,0.0,0.0,0.0,0.0,0.00044585589002412937,P2:26089,0.00044585589002412937
5962,0.0,0.0019220312921352624,0.0,0.000305268218550726,0.0,0.00044545990213719773,P2:9310,0.00044545990213719773
15020,0.0,-0.0022240076626221838,0.0,0.0,0.0,-0.00044480153252443675,P1:12938,0.00044480153252443675
7210,0.0,0.0,0.0,0.0,-0.0022205926431801927,-0.00044411852863603855,P2:2909,0.00044411852863603855
776,0.0022191898190871916,0.0,0.0,0.0,0.0,0.00044383796381743833,P7 Mono:5061,0.00044383796381743833
9396,0.0022190361012284117,0.0,0.0,0.0,0.0,0.0004438072202456823,P2:21542,0.0004438072202456823
11537,0.0,0.0,-0.002213437837886604,0.0,0.0,-0.00044268756757732074,P1:7087,0.00044268756757732074
8699,0.0,0.0015780189591566816,0.0006295283110425287,0.0,0.0,0.0004415094540398421,P2:23389,0.0004415094540398421
14874,0.0,0.0007469461471106543,0.0,0.001455353605369603,0.0,0.0004404599504960515,P1:141,0.0004404599504960515
9762,0.0,0.0,0.0,0.0021995219777281,0.0,0.00043990439554562004,P2:20569,0.00043990439554562004
7685,0.0,0.0,0.0,-0.0021991425458641866,0.0,-0.0004398285091728373,P2:25573,0.0004398285091728373
6913,0.0,0.0021640591270434043,0.0,0.0,3.0374706481832275e-05,0.0004388867667050473,P2:4643,0.0004388867667050473
10304,0.0,0.0,0.0021943013724802065,0.0,0.0,0.0004388602744960413,P2:12589,0.0004388602744960413
307,0.0,0.0021939538745747154,0.0,0.0,0.0,0.0004387907749149431,P7 Mono:818,0.0004387907749149431
11414,0.0,0.0,0.0,-0.0021917149261843193,0.0,-0.00043834298523686387,P1:7585,0.00043834298523686387
9324,0.00030861611391942104,0.00187951339772088,0.0,0.0,0.0,0.00043762590232806017,P2:21739,0.00043762590232806017
15532,0.0021868487244508907,0.0,0.0,0.0,0.0,0.00043736974489017814,MFI:676,0.00043736974489017814
14239,0.0,0.0,0.0,0.0021782217360933665,0.0,0.0004356443472186733,P1:21525,0.0004356443472186733
379,0.0021761676796826926,0.0,0.0,0.0,0.0,0.0004352335359365385,P7 Mono:6549,0.0004352335359365385
9997,0.002175940312201886,0.0,0.0,0.0,0.0,0.00043518806244037723,P2:1496,0.00043518806244037723
3982,0.0,0.002174599456675365,0.0,0.0,0.0,0.00043491989133507305,P3:7984,0.00043491989133507305
3082,0.00040066046068006414,0.0,0.0017733264857475977,0.0,0.0,0.0004347973892855324,P4:5519,0.0004347973892855324
12145,0.0021726072588777777,0.0,0.0,0.0,0.0,0.00043452145177555555,P1:4531,0.00043452145177555555
14258,0.0,0.0,0.0,0.0021680830718705147,0.0,0.0004336166143741029,P1:21493,0.0004336166143741029
