,labels,en_betas,abs(en_betas)
19616,MFI:469,-0.16585409789364278,0.16585409789364278
16508,P1:22213,-0.0903043370226603,0.0903043370226603
11884,P2:16111,-0.07627483644738758,0.07627483644738758
3235,P4:6227,0.05621688556223659,0.05621688556223659
3760,P4:3799,-0.04755701758357179,0.04755701758357179
3467,P4:5290,0.03912310620357325,0.03912310620357325
1940,P5 gd:524,0.038212824520556334,0.038212824520556334
1340,P7 Mono:1287,0.03804108095652383,0.03804108095652383
70,P7:31,0.03498000334894301,0.03498000334894301
17161,P1:20365,-0.030712628238564046,0.030712628238564046
19393,MFI:8,0.02900067805773728,0.02900067805773728
19313,P1:10321,-0.027821665250384618,0.027821665250384618
3413,P4:5530,0.02448913217029766,0.02448913217029766
2224,P5 gd:1927,0.022183653612574326,0.022183653612574326
19735,MFI:353,0.018754717192432845,0.018754717192432845
7299,P2:7234,0.017062837293593508,0.017062837293593508
18950,P1:12687,-0.013950808579167142,0.013950808579167142
3971,P4:3231,0.008968433807292184,0.008968433807292184
10624,P2:21,-0.008300013989683002,0.008300013989683002
2719,P5 NKT:227,-0.005950045277411027,0.005950045277411027
1903,P5 gd:596,0.004216084070750246,0.004216084070750246
2048,P5 gd:297,0.003841663917039222,0.003841663917039222
1844,P5 gd:692,0.0025458192584735494,0.0025458192584735494
2017,P5 gd:370,0.00205696457904618,0.00205696457904618
14219,P1:6061,-0.0009800671846127203,0.0009800671846127203
19976,MFI:122,0.00044479018130682874,0.00044479018130682874
