,max_depth,n_estimators,max_features,neg_mae
0,1,300,0.3,-0.21428142814535334
1,6,300,0.3,-0.19627920743788438
2,11,300,0.3,-0.1947852878423282
3,16,300,0.3,-0.19494274120255553
4,21,300,0.3,-0.19489047626251194
5,26,300,0.3,-0.19486516904924012
6,31,300,0.3,-0.19496641706376244
