,0
baseline,-0.22443118099022025
avg_neg_mae_tt,-0.1626228580414735
avg_neg_mae_vv,-0.18698156111931008
avg_neg_mae_tv,-0.20194184251116987
data_source,Analysis/RandomForest/20042023_c0.95_100/r_forest_fs_bs_candidate_features_100_20042023_7.csv
partition_training_dataset,True
fs_bs_filter,2
features,"['P4:3799', 'P1:22240', 'MFI:469', 'P5 gd:1759', 'P1:9862', 'P2:8332', 'P2:19843', 'P1:495', 'P1:8986', 'P1:9908', 'P1:11755', 'P1:19709', 'P4:3333', 'P5 gd:335', 'P2:384', 'P1:4428', 'P2:7298', 'P1:2043', 'P5 gd:1966', 'P1:22834', 'P2:8765', 'P1:23185', 'P7 Mono:3409', 'P2:7225', 'P2:8981', 'P2:24049', 'P2:41', 'P1:22232', 'P1:7363', 'P2:19526', 'P2:9864', 'P7 Mono:6178', 'P2:14607', 'P4:4754', 'P2:9342', 'P5 gd:1426', 'P2:11251']"
