,0
baseline,-0.22697405052036435
avg_neg_mae_tt,-0.16086807409782497
avg_neg_mae_vv,-0.1842064998876359
avg_neg_mae_tv,-0.20646087192420887
data_source,Analysis/RandomForest/20042023_c0.95_100/r_forest_fs_bs_candidate_features_100_20042023_8.csv
partition_training_dataset,True
fs_bs_filter,1
features,"['P4:3799', 'MFI:469', 'P1:9862', 'P7:132', 'P1:9908', 'P1:22213', 'P2:7298', 'P1:5442', 'P1:12345', 'P7 Mono:3409', 'P2:8332', 'P1:4428', 'P1:9598', 'P1:23429', 'P2:8981', 'P1:22214', 'P2:20951', 'P1:9870', 'P4:4754', 'P5 gd:52', 'P7 Mono:6330', 'P3:85', 'P1:22915', 'P4:3333', 'P7 Mono:1971', 'P2:8413', 'P5 gd:1966', 'P1:6102', 'P1:22471', 'P7:217', 'P5 gd:680', 'P4:3793', 'MFI:488', 'P1:12696', 'P2:504', 'P4:5281', 'P1:22232', 'P5 gd:849', 'P7 Mono:7', 'P2:22299', 'P5 gd:224', 'P7 Mono:66', 'P7 Mono:92', 'P5 gd:166', 'P4:5521', 'P5 CD8:31', 'P1:6052', 'P2:9702', 'P1:22129', 'P3:7021', 'P4:82', 'P1:931', 'P5 gd:1667', 'P2:9289', 'P2:13332', 'P1:11755', 'P2:9861', 'MFI:145', 'MFI:478', 'P5 gd:1625', 'P5 gd:1993', 'MFI:414', 'P7 Mono:6487', 'P5 gd:945']"
