,0
baseline,-0.21641480642283809
avg_neg_mae_tt,-0.13684271098828946
avg_neg_mae_vv,-0.15168527723792483
avg_neg_mae_tv,-0.20773643798502633
data_source,Analysis/RandomForest/May/24052023/25052023_9/rf_fs_bs_candidate_features_225_25052023_9.csv
partition_training_dataset,True
fs_bs_filter,2
n_splits,4
n_repeats,5
random_state,336
impute,True
standardise,True
normalise,True
strategy,median
max_depth,11
n_estimators,60
max_features,0.4
max_samples,0.5
bootstrap,True
min_samples_split,10
features,"['P4:3799', 'MFI:469', 'P1:20790', 'P7 Mono:4045', 'MFI:149', 'P1:22240', 'P4:3706', 'P1:22834', 'P1:22913', 'P1:495', 'P1:7363', 'P1:9589', 'P1:6709', 'P1:20030', 'P1:9862', 'P2:6633', 'P1:11384', 'P5 gd:308', 'P5 gd:832', 'P1:6021', 'P2:7298', 'P2:21187', 'P7 Mono:1890', 'P1:22915', 'P4:3333', 'P5 gd:1727', 'P1:20789', 'P6 earlyB:96', 'P1:9908', 'P5 gd:451', 'P2:8981', 'P1:22700', 'P2:9961', 'P5 gd:297', 'P1:4428', 'MFI:22', 'P4:6239', 'P7:44', 'P5 gd:370', 'P1:12345', 'P4:5373', 'P3:857', 'P1:3860', 'P7:238', 'MFI:236', 'P5 gd:835', 'P7:110', 'P1:8200', 'P6 earlyB:236', 'MFI:60', 'P4:3474', 'P2:5231', 'MFI:199', 'P1:21492', 'P2:2537', 'P6:237', 'P1:11936']"
