,C,fit_intercept,l1_ratio,max_iter,n_jobs,penalty,solver,avg_neg_mae
0,0.05,True,0.05,100,15,elasticnet,saga,-0.13273705004389819
1,0.05,True,0.1,100,15,elasticnet,saga,-0.13273705004389819
2,0.05,True,0.15000000000000002,100,15,elasticnet,saga,-0.13273705004389819
3,0.05,True,0.2,100,15,elasticnet,saga,-0.13273705004389819
4,0.05,True,0.25,100,15,elasticnet,saga,-0.13273705004389819
5,0.05,True,0.3,100,15,elasticnet,saga,-0.13273705004389819
6,0.05,True,0.35000000000000003,100,15,elasticnet,saga,-0.13273705004389819
7,0.05,True,0.4,100,15,elasticnet,saga,-0.13273705004389819
8,0.05,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
9,0.05,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
10,0.05,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
11,0.05,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
12,0.05,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
13,0.05,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
14,0.05,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
15,0.05,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
16,0.05,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
17,0.05,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
18,0.1,True,0.05,100,15,elasticnet,saga,-0.1357001755926251
19,0.1,True,0.1,100,15,elasticnet,saga,-0.13421861281826164
20,0.1,True,0.15000000000000002,100,15,elasticnet,saga,-0.13273705004389819
21,0.1,True,0.2,100,15,elasticnet,saga,-0.13273705004389819
22,0.1,True,0.25,100,15,elasticnet,saga,-0.13273705004389819
23,0.1,True,0.3,100,15,elasticnet,saga,-0.13273705004389819
24,0.1,True,0.35000000000000003,100,15,elasticnet,saga,-0.13273705004389819
25,0.1,True,0.4,100,15,elasticnet,saga,-0.13273705004389819
26,0.1,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
27,0.1,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
28,0.1,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
29,0.1,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
30,0.1,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
31,0.1,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
32,0.1,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
33,0.1,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
34,0.1,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
35,0.1,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
36,0.15000000000000002,True,0.05,100,15,elasticnet,saga,-0.13645741878841086
37,0.15000000000000002,True,0.1,100,15,elasticnet,saga,-0.1357001755926251
38,0.15000000000000002,True,0.15000000000000002,100,15,elasticnet,saga,-0.13496488147497804
39,0.15000000000000002,True,0.2,100,15,elasticnet,saga,-0.13273705004389819
40,0.15000000000000002,True,0.25,100,15,elasticnet,saga,-0.13273705004389819
41,0.15000000000000002,True,0.3,100,15,elasticnet,saga,-0.13273705004389819
42,0.15000000000000002,True,0.35000000000000003,100,15,elasticnet,saga,-0.13273705004389819
43,0.15000000000000002,True,0.4,100,15,elasticnet,saga,-0.13273705004389819
44,0.15000000000000002,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
45,0.15000000000000002,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
46,0.15000000000000002,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
47,0.15000000000000002,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
48,0.15000000000000002,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
49,0.15000000000000002,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
50,0.15000000000000002,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
51,0.15000000000000002,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
52,0.15000000000000002,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
53,0.15000000000000002,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
54,0.2,True,0.05,100,15,elasticnet,saga,-0.137928007023705
55,0.2,True,0.1,100,15,elasticnet,saga,-0.13645741878841086
56,0.2,True,0.15000000000000002,100,15,elasticnet,saga,-0.1357001755926251
57,0.2,True,0.2,100,15,elasticnet,saga,-0.1357001755926251
58,0.2,True,0.25,100,15,elasticnet,saga,-0.13348331870061458
59,0.2,True,0.3,100,15,elasticnet,saga,-0.13273705004389819
60,0.2,True,0.35000000000000003,100,15,elasticnet,saga,-0.13273705004389819
61,0.2,True,0.4,100,15,elasticnet,saga,-0.13273705004389819
62,0.2,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
63,0.2,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
64,0.2,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
65,0.2,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
66,0.2,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
67,0.2,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
68,0.2,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
69,0.2,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
70,0.2,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
71,0.2,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
72,0.25,True,0.05,100,15,elasticnet,saga,-0.14161545215100962
73,0.25,True,0.1,100,15,elasticnet,saga,-0.13719271290605795
74,0.25,True,0.15000000000000002,100,15,elasticnet,saga,-0.13571115013169446
75,0.25,True,0.2,100,15,elasticnet,saga,-0.1357001755926251
76,0.25,True,0.25,100,15,elasticnet,saga,-0.1357001755926251
77,0.25,True,0.3,100,15,elasticnet,saga,-0.13496488147497804
78,0.25,True,0.35000000000000003,100,15,elasticnet,saga,-0.13273705004389819
79,0.25,True,0.4,100,15,elasticnet,saga,-0.13273705004389819
80,0.25,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
81,0.25,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
82,0.25,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
83,0.25,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
