,0
MFI:469,0.32459970172319913
P1:20790,0.15213756493354233
P1:4229,0.1201442227470684
P1:4256,0.07885557207429959
P1:22210,0.06666988486281777
P1:22213,0.0488388335218684
P1:20709,0.035719730779956126
P1:20127,0.035647104409849306
P1:3986,0.029475777022123246
P1:20054,0.024506088664312413
P1:20057,0.018947156887841755
P1:20130,0.015074964955762885
P1:20027,0.014881381653549245
P1:20030,0.013400651452445686
P1:20104,0.008947386891120096
P1:20102,0.00446678076526653
P1:22183,0.004116013042294927
P1:22186,0.003571183612682172
