,labels,en_betas,abs(en_betas)
15691,MFI:469,-0.16663019895390518,0.16663019895390518
13978,P1:22213,-0.08664250099344446,0.08664250099344446
2915,P4:6227,0.06037614186985152,0.06037614186985152
3375,P4:3799,-0.04678728726142439,0.04678728726142439
14624,P1:20365,-0.042614722259585666,0.042614722259585666
70,P7:31,0.04175642441182509,0.04175642441182509
2048,P5 gd:297,0.037874189697597864,0.037874189697597864
1340,P7 Mono:1287,0.035193844525681466,0.035193844525681466
3120,P4:5290,0.03372689946521183,0.03372689946521183
15434,P1:10321,-0.03158220267259469,0.03158220267259469
15511,MFI:8,0.02986375426453335,0.02986375426453335
6486,P2:7234,0.028361622148113302,0.028361622148113302
2224,P5 gd:1927,0.02771279703807407,0.02771279703807407
15071,P1:12687,-0.026363021180552716,0.026363021180552716
1940,P5 gd:524,0.025840905478642495,0.025840905478642495
3071,P4:5530,0.02574933292629841,0.02574933292629841
1844,P5 gd:692,0.018800034637639962,0.018800034637639962
3547,P4:3231,0.015222349317284181,0.015222349317284181
2315,P5 gd:1727,-0.010951430361929785,0.010951430361929785
11781,P1:6061,-0.00938212973614807,0.00938212973614807
15700,MFI:457,0.008487068655688216,0.008487068655688216
6488,P2:7231,0.00827841837234089,0.00827841837234089
15959,MFI:122,0.008125594514083656,0.008125594514083656
14934,P1:13393,-0.006299467899533107,0.006299467899533107
2770,P4:82,-0.006168674065008249,0.006168674065008249
11383,P1:773,0.005166567519450719,0.005166567519450719
4552,P3:5906,0.0034667664354581743,0.0034667664354581743
15069,P1:12696,-0.003300269750900429,0.003300269750900429
1903,P5 gd:596,0.0027199688684095944,0.0027199688684095944
2337,P5 gd:1625,0.0019920379213712396,0.0019920379213712396
269,P7 Mono:91,-0.0008095020430365671,0.0008095020430365671
14639,P1:20308,-0.00032842042369951986,0.00032842042369951986
