,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5,Trait ID,Subset or Surface Protein,Full Subset Name,max_nlog_p
186,P4:5317,12.401781190328894,0.4906140461097633,15.139484227402471,11.888764181768744,0.065505034732005,2.324266485278656,P4:5317,CD2+337+158b-,56+16-/CD2+337+158b-,15.139484227402471
27,P1:20445,0.1013113979776091,0.1405257554782771,15.093242005187983,11.134281794565627,0.0524447728027987,0.1420760375760566,P1:20445,27-28-57+95-127+244-RA-,DPT/27-28-57+95-127+244-RA-,15.093242005187983
34,P1:21146,0.0864739817319077,0.0351939570658984,15.065626984125537,9.700091015862467,0.279605085608092,0.4572016653332441,P1:21146,28-31-57+95-127+RA-,DPT/28-31-57+95-127+RA-,15.065626984125537
35,P1:21148,0.1179432107242767,0.0011141747077855,14.866552778797892,11.392177228610027,0.0681026911443778,0.3556249282925243,P1:21148,27-31-57+95-127+RA-,DPT/27-31-57+95-127+RA-,14.866552778797892
131,P4:4782,14.602949534976895,0.0515676618902081,14.762671604172308,11.375716241480484,0.0969608229106167,2.44706051684264,P4:4782,CD2+337+158a-R7-,56+16-/CD2+337+158a-R7-,14.762671604172308
19,P1:20208,0.4790322396108293,0.1235669906672002,14.759944972233972,11.076727540578984,0.2452177817160511,0.1104979848327762,P1:20208,27-31-57+95-244-RA-,DPT/27-31-57+95-244-RA-,14.759944972233972
28,P1:20446,0.0227994010358569,0.1701206445036852,14.663404100178116,9.0295212272093,0.1347636853732306,0.1118726349331574,P1:20446,28-57+95-127+244-RA-,DPT/28-57+95-127+244-RA-,14.663404100178116
18,P1:20206,0.2221580967637965,0.102916506534007,14.64108902396972,9.137954261895135,0.0803207688166398,0.1972391533524947,P1:20206,28-31-57+95-244-RA-,DPT/28-31-57+95-244-RA-,14.64108902396972
29,P1:20448,0.2224226402695011,0.1147287290332234,14.497212837692215,10.736924328526635,0.006159002427666,0.1741144752845857,P1:20448,27-57+95-127+244-RA-,DPT/27-57+95-127+244-RA-,14.497212837692215
203,P4:5479,15.209200079392994,0.0800759792556032,14.480547592685506,11.266873045968488,0.1084928108113404,2.556392658640683,P4:5479,CD2+337+158a-,56+16-/CD2+337+158a-,14.480547592685506
148,P4:4863,15.072308558604028,0.267570485985845,14.200807887158344,10.287876794418333,0.0578049222385696,2.5640282768993554,P4:4863,CD2+337+R7-,56+16-/CD2+337+R7-,14.200807887158344
95,P4:4556,1.3649943633581445,0.0770619159118077,13.9119342505638,10.59360333974134,0.0161369998786953,0.0965971797484986,P4:4556,CD2+314-337+158a-158b-R7-,56+16-/CD2+314-337+158a-158b-R7-,13.9119342505638
111,P4:4633,1.3649943633581445,0.0770619159118077,13.9119342505638,10.59360333974134,0.0161369998786953,0.0965971797484986,P4:4633,CD2+314-337+158b-R7-,56+16-/CD2+314-337+158b-R7-,13.9119342505638
129,P4:4779,1.5008540730654687,0.0195294061304407,13.90970470555374,10.68182343013643,0.006902976387952,0.1319038993682213,P4:4779,CD2+314-337+158a-R7-,56+16-/CD2+314-337+158a-R7-,13.90970470555374
146,P4:4860,1.5008540730654687,0.0195294061304407,13.90970470555374,10.68182343013643,0.006902976387952,0.1319038993682213,P4:4860,CD2+314-337+R7-,56+16-/CD2+314-337+R7-,13.90970470555374
221,P4:5560,15.70478026304407,0.2983515858009203,13.908618187504748,10.187675222987275,0.0683475503657147,2.6783162911971736,P4:5560,CD2+337+,56+16-/CD2+337+,13.908618187504748
201,P4:5476,1.437296307221157,0.003448723502502,13.906345967534572,10.727496479296098,0.0613083594252969,0.1225439526269759,P4:5476,CD2+314-337+158a-,56+16-/CD2+314-337+158a-,13.906345967534572
219,P4:5557,1.437296307221157,0.003448723502502,13.906345967534572,10.727496479296098,0.0613083594252969,0.1225439526269759,P4:5557,CD2+314-337+,56+16-/CD2+314-337+,13.906345967534572
184,P4:5314,1.3052088771094592,0.0573302301449245,13.896321626847245,10.632711884764444,0.0724050169571555,0.0883354763816059,P4:5314,CD2+314-337+158b-,56+16-/CD2+314-337+158b-,13.896321626847245
167,P4:5233,1.3052088771094592,0.0573302301449245,13.896321626847245,10.632711884764444,0.0724050169571555,0.0883354763816059,P4:5233,CD2+314-337+158a-158b-,56+16-/CD2+314-337+158a-158b-,13.896321626847245
96,P4:4558,14.913744720276966,0.677789546748055,13.76402468637956,11.505294836816963,0.0219443863713033,3.080260881241012,P4:4558,337+158a-158b-R7-,56+16-/337+158a-158b-R7-,13.76402468637956
112,P4:4635,14.99135530413588,0.8002663817647439,13.669814246361163,10.94067644057456,0.0368844183581157,3.038261269441739,P4:4635,337+158b-R7-,56+16-/337+158b-R7-,13.669814246361163
145,P4:4859,1.600100169715789,0.0684604344942132,13.547071286397914,10.484477844518118,0.0384768262542936,0.2055149589365978,P4:4859,314-337+R7-,56+16-/314-337+R7-,13.547071286397914
128,P4:4778,1.600100169715789,0.0684604344942132,13.547071286397914,10.484477844518118,0.0384768262542936,0.2055149589365978,P4:4778,314-337+158a-R7-,56+16-/314-337+158a-R7-,13.547071286397914
218,P4:5556,1.5690662723558202,0.0773137211005055,13.54239692435358,10.53233867097032,0.1020723035171963,0.2025470516909678,P4:5556,314-337+,56+16-/314-337+,13.54239692435358
200,P4:5475,1.5690662723558202,0.0773137211005055,13.54239692435358,10.53233867097032,0.1020723035171963,0.2025470516909678,P4:5475,314-337+158a-,56+16-/314-337+158a-,13.54239692435358
110,P4:4632,1.4641697713880697,0.0134896380764414,13.528963823333555,10.382722169103223,0.0479277431409889,0.1688058524340343,P4:4632,314-337+158b-R7-,56+16-/314-337+158b-R7-,13.528963823333555
94,P4:4555,1.4641697713880697,0.0134896380764414,13.528963823333555,10.382722169103223,0.0479277431409889,0.1688058524340343,P4:4555,314-337+158a-158b-R7-,56+16-/314-337+158a-158b-R7-,13.528963823333555
183,P4:5313,1.4357579283009358,0.0227329071234384,13.512769484810416,10.42423132236517,0.113572892103875,0.1666333162958657,P4:5313,314-337+158b-,56+16-/314-337+158b-,13.512769484810416
166,P4:5232,1.4357579283009358,0.0227329071234384,13.512769484810416,10.42423132236517,0.113572892103875,0.1666333162958657,P4:5232,314-337+158a-158b-,56+16-/314-337+158a-158b-,13.512769484810416
168,P4:5235,15.476131434687357,0.7514349450333571,13.443094223828874,11.38273313112033,0.023895375422514,3.1884374560847317,P4:5235,337+158a-158b-,56+16-/337+158a-158b-,13.443094223828874
185,P4:5316,15.553092675071042,0.8737369917416726,13.32137621876094,10.810335481398392,0.0386586890944729,3.1444704611090244,P4:5316,337+158b-,56+16-/337+158b-,13.32137621876094
37,P1:21154,0.0791567710112583,0.3771044428972447,13.314639198837613,10.300392821481225,0.2201620462935634,0.0401739549789663,P1:21154,27-28-57+95-127+RA-,DPT/27-28-57+95-127+RA-,13.314639198837613
104,P4:4623,0.7935736134482687,0.1174887302176993,13.156439625033094,10.106867764575988,0.0615924999790513,0.0777722197132353,P4:4623,314-334-337+158b-R7-,56+16-/314-334-337+158b-R7-,13.156439625033094
90,P4:4549,0.7935736134482687,0.1174887302176993,13.156439625033094,10.106867764575988,0.0615924999790513,0.0777722197132353,P4:4549,314-334-337+158a-158b-R7-,56+16-/314-334-337+158a-158b-R7-,13.156439625033094
105,P4:4624,0.8064232454355457,0.1268248664672205,13.146566349897103,10.101616535928036,0.0512681062540431,0.071227511929681,P4:4624,CD2+314-334-337+158b-R7-,56+16-/CD2+314-334-337+158b-R7-,13.146566349897103
244,P4:99,0.8064232454355457,0.1268248664672205,13.146566349897103,10.101616535928036,0.0512681062540431,0.071227511929681,P4:99,2+314-334-337+158a-158b-R7-,56+16-/2+314-334-337+158a-158b-R7-,13.146566349897103
38,P1:21155,0.0107570741667631,0.4081142497755984,13.030055500265126,8.501238324703944,0.3119772901454322,0.0606984855060204,P1:21155,28-57+95-127+RA-,DPT/28-57+95-127+RA-,13.030055500265126
130,P4:4781,17.477560548960053,0.3300902758651501,13.009042528204194,10.41639750981306,0.1150565748852693,3.1960231009068214,P4:4781,337+158a-R7-,56+16-/337+158a-R7-,13.009042528204194
106,P4:4626,5.453556518528631,0.1932038900645827,12.958699990638385,10.19491220323265,0.1763948820683828,1.0533238109427252,P4:4626,334-337+158b-R7-,56+16-/334-337+158b-R7-,12.958699990638385
91,P4:4551,5.231163681214004,0.1362724776349918,12.915865791984858,10.250573844679064,0.1997525898609632,1.0085534846562625,P4:4551,334-337+158a-158b-R7-,56+16-/334-337+158a-158b-R7-,12.915865791984858
179,P4:5307,5.502361401580712,0.1793457130209901,12.804734026492492,10.119413128133663,0.1886286582334577,1.0004207207764224,P4:5307,334-337+158b-,56+16-/334-337+158b-,12.804734026492492
139,P4:4850,0.8498696173539645,0.0747304196550443,12.784466066016885,9.907277825676353,0.0670132456252282,0.0724674708947643,P4:4850,314-334-337+R7-,56+16-/314-334-337+R7-,12.784466066016885
122,P4:4769,0.8498696173539645,0.0747304196550443,12.784466066016885,9.907277825676353,0.0670132456252282,0.0724674708947643,P4:4769,314-334-337+158a-R7-,56+16-/314-334-337+158a-R7-,12.784466066016885
162,P4:5226,5.261592298829383,0.1287466284963735,12.783953686625864,10.190644637534676,0.2059200878940168,0.949225981869988,P4:5226,334-337+158a-158b-,56+16-/334-337+158a-158b-,12.783953686625864
123,P4:4770,0.8626756423779299,0.0831577598154686,12.773964804369571,9.901287817264077,0.056876961247013,0.0661665923899708,P4:4770,CD2+314-334-337+158a-R7-,56+16-/CD2+314-334-337+158a-R7-,12.773964804369571
140,P4:4851,0.8626756423779299,0.0831577598154686,12.773964804369571,9.901287817264077,0.056876961247013,0.0661665923899708,P4:4851,CD2+314-334-337+R7-,56+16-/CD2+314-334-337+R7-,12.773964804369571
92,P4:4552,4.125013721569654,0.0325079673745666,12.699316204661724,9.850725835359611,0.0755841838916595,0.6420561746020997,P4:4552,CD2+334-337+158a-158b-R7-,56+16-/CD2+334-337+158a-158b-R7-,12.699316204661724
202,P4:5478,18.067434235632827,0.3695454086326721,12.652183984150332,10.243808395738052,0.118173918725742,3.300974971447678,P4:5478,337+158a-,56+16-/337+158a-,12.652183984150332
147,P4:4862,17.8929998329291,0.608389650602429,12.646695948120088,9.48847193766678,0.0755959019320589,3.246608530057074,P4:4862,337+R7-,56+16-/337+R7-,12.646695948120088
160,P4:5223,0.7432775547575334,0.0956001912585181,12.612002164953854,9.73553680057782,0.0953643848936403,0.095828530443952,P4:5223,314-334-337+158a-158b-,56+16-/314-334-337+158a-158b-,12.612002164953854
177,P4:5304,0.7432775547575334,0.0956001912585181,12.612002164953854,9.73553680057782,0.0953643848936403,0.095828530443952,P4:5304,314-334-337+158b-,56+16-/314-334-337+158b-,12.612002164953854
124,P4:4772,5.894319003971661,0.0449552666192711,12.603488082772785,10.024163183526593,0.336310280912111,1.004886514266172,P4:4772,334-337+158a-R7-,56+16-/334-337+158a-R7-,12.603488082772785
161,P4:5224,0.7554169412291345,0.1043768513398216,12.601804908157206,9.729849325772951,0.084660853139829,0.0892375681221783,P4:5224,CD2+314-334-337+158a-158b-,56+16-/CD2+314-334-337+158a-158b-,12.601804908157206
178,P4:5305,0.7554169412291345,0.1043768513398216,12.601804908157206,9.729849325772951,0.084660853139829,0.0892375681221783,P4:5305,CD2+314-334-337+158b-,56+16-/CD2+314-334-337+158b-,12.601804908157206
107,P4:4627,4.336262422812213,0.0027206945758992,12.579875517248402,9.817487275614669,0.0542152782045973,0.6890464784296677,P4:4627,CD2+334-337+158b-R7-,56+16-/CD2+334-337+158b-R7-,12.579875517248402
141,P4:4853,6.208275668108643,0.1155830895754095,12.579539707756696,9.907402498268278,0.3040017750200325,1.0236661744844084,P4:4853,334-337+R7-,56+16-/334-337+R7-,12.579539707756696
163,P4:5227,4.155600268616938,0.036199035960417,12.565034968159027,9.789637439187215,0.079811113978604,0.5975749568866513,P4:5227,CD2+334-337+158a-158b-,56+16-/CD2+334-337+158a-158b-,12.565034968159027
125,P4:4773,4.82223808911068,0.1211527076601129,12.52026733394995,9.73058532699008,0.1983263435903943,0.6908261408764188,P4:4773,CD2+334-337+158a-R7-,56+16-/CD2+334-337+158a-R7-,12.52026733394995
196,P4:5469,5.960338247828389,0.0377548056488745,12.469698331483938,9.945086213985316,0.3365069936049863,0.9559515193871718,P4:5469,334-337+158a-,56+16-/334-337+158a-,12.469698331483938
180,P4:5308,4.392180036990825,0.0049088584150953,12.44594863961908,9.75726737143781,0.0637701998609687,0.650839522093471,P4:5308,CD2+334-337+158b-,56+16-/CD2+334-337+158b-,12.44594863961908
214,P4:5550,6.293658730306201,0.1025788606948951,12.427670563464776,9.81573273569788,0.3110320427120033,0.9817714496075886,P4:5550,334-337+,56+16-/334-337+,12.427670563464776
