,coef_0,coef_1,coef_2,coef_3,coef_4,mean,abs(mean)
P4:5530,0.03512493056489724,0.062228896991858414,0.008949009125546302,0.012270597430753283,0.05178262529776931,0.03407121188216491,0.03407121188216491
P4:5539,0.00681922727668681,0.049702943825913844,0.0,0.03022014357014992,0.0019256315634242007,0.017733589247234956,0.017733589247234956
P6:76,0.008336469873884455,0.007376214206839735,0.0005395825842651906,0.0325174762485392,0.01718304270354996,0.013190557123415709,0.013190557123415709
MFI:658,0.015333586918425988,0.004068581776406758,0.017632503763335923,0.0,0.012687202939225385,0.00994437507947881,0.00994437507947881
P7 Mono:4196,0.016864481217592438,0.0033704457418641002,0.0,0.0,0.02640844529992057,0.009328674451875421,0.009328674451875421
P4:6227,0.016267700349729915,0.01889225041447374,0.0,0.0,0.011316492979973048,0.00929528874883534,0.00929528874883534
MFI:79,0.0,0.0,0.015045583713862623,0.026174592150282717,0.0031995812798702103,0.008883951428803109,0.008883951428803109
P5 CD8:109,0.0,0.0,0.0,0.031971500235172395,0.0,0.006394300047034479,0.006394300047034479
P7:23,0.006891257396201428,0.0,0.0,0.02395649231830718,0.0,0.006169549942901721,0.006169549942901721
P7 Mono:3386,0.0,0.02381543393837417,0.0,0.004556526955873136,0.0010796472084648784,0.0058903216205424365,0.0058903216205424365
MFI:472,0.002331901804233845,0.022283101204981844,0.0,0.0,0.002678617924494734,0.005458724186742084,0.005458724186742084
P4:3645,0.002973985030944487,0.0,0.0,0.0,0.023930850211889638,0.005380967048566825,0.005380967048566825
MFI:76,0.0,0.009859713808940334,0.015986601638156704,0.0,0.0,0.005169263089419408,0.005169263089419408
P7 Mono:4455,0.008254122083837615,0.015425433750964189,0.0,0.0,0.0017834939682672781,0.0050926099606138165,0.0050926099606138165
P5 CD8:136,0.0,0.0,0.0,0.023046276627461563,0.0,0.004609255325492312,0.004609255325492312
MFI:103,0.0,0.0,0.01806805225458075,0.004220417345370553,0.0,0.004457693919990261,0.004457693919990261
MFI:8,0.0,0.0,0.010463764860542214,0.00971022319063043,0.0,0.004034797610234529,0.004034797610234529
MFI:224,0.019482287140938068,0.0,0.0,0.0,0.0,0.0038964574281876137,0.0038964574281876137
P5 gd:1202,0.0,0.01241956303162843,0.0,0.0,0.0061101644382479834,0.003705945493975283,0.003705945493975283
MFI:59,0.0,0.017231313244363,0.0,0.0,0.0,0.0034462626488726,0.0034462626488726
P7 Mono:566,0.0,0.015379751256459727,0.0,0.0,0.0,0.0030759502512919456,0.0030759502512919456
P4:3729,0.0,0.0,0.0,0.0,0.015006186720003974,0.0030012373440007948,0.0030012373440007948
P2:23259,0.010221010472198987,0.0,0.0,0.0,0.004444726196548916,0.0029331473337495806,0.0029331473337495806
MFI:516,0.0,0.013129338935257938,0.0,0.0,0.0,0.0026258677870515876,0.0026258677870515876
MFI:238,0.0,0.0,0.0,0.0,0.012330211934097895,0.002466042386819579,0.002466042386819579
P2:11314,0.0,0.0,0.0,0.004519656600989939,0.0071539809100637786,0.0023347275022107435,0.0023347275022107435
P7:119,0.0,0.00589672983914165,0.0,0.0013483150500300009,0.003803221708848289,0.002209653319603988,0.002209653319603988
P1:9993,0.0,0.01097173771972487,0.0,0.0,0.0,0.0021943475439449743,0.0021943475439449743
P7 Mono:4464,0.003291714588759115,0.0075440885824616,0.0,0.0,0.0,0.002167160634244143,0.002167160634244143
P1:24559,0.010279033664676166,0.0,0.0,0.0,0.0,0.002055806732935233,0.002055806732935233
P4:3639,0.0,0.0,0.0,0.0,0.009594644020341029,0.0019189288040682058,0.0019189288040682058
P5 gd:1855,0.0,0.0,0.009239982693719024,0.0,0.0,0.0018479965387438047,0.0018479965387438047
P1:4177,0.0,0.004764263102418918,0.0,0.00372776066394564,0.0,0.0016984047532729116,0.0016984047532729116
MFI:410,0.0,0.0,0.0,0.0,0.008315157966374165,0.001663031593274833,0.001663031593274833
P2:6381,-0.0,0.0,0.0069041235368154435,0.0,0.0,0.0013808247073630888,0.0013808247073630888
P1:7721,0.0003999929485036703,0.0,0.0,0.0,0.006477259602375854,0.0013754505101759048,0.0013754505101759048
P7 Mono:4115,0.0,0.0,0.0,0.004047483528478042,0.0024863773207516766,0.0013067721698459436,0.0013067721698459436
P6:99,0.0,0.0,0.0,0.005883412233848728,0.0,0.0011766824467697456,0.0011766824467697456
MFI:85,0.0,0.005509520385097972,0.0,0.0,0.0,0.0011019040770195944,0.0011019040770195944
P2:11233,0.0,0.0,0.0,0.0048810184554113935,0.0,0.0009762036910822787,0.0009762036910822787
P2:592,0.0,0.0,0.0,0.0,0.004766079708939467,0.0009532159417878934,0.0009532159417878934
P7 Mono:3382,0.0,0.0,0.0,0.004323815738415627,0.0,0.0008647631476831254,0.0008647631476831254
P2:5236,0.0,0.0,0.0042633346158891935,0.0,0.0,0.0008526669231778387,0.0008526669231778387
P7:186,0.0,0.004245740028526788,0.0,0.0,0.0,0.0008491480057053576,0.0008491480057053576
P7:32,0.0,0.0,0.0,0.0041045046227772535,0.0,0.0008209009245554507,0.0008209009245554507
P1:24560,0.0,0.004081410125811399,0.0,0.0,0.0,0.0008162820251622798,0.0008162820251622798
P1:12997,0.0,0.0,0.0039709265941557615,0.0,0.0,0.0007941853188311523,0.0007941853188311523
P3:159,0.0037214445086968203,0.0,0.0,0.0,0.0,0.000744288901739364,0.000744288901739364
P2:7303,0.0,0.0,0.00337357632742922,0.0,0.0,0.000674715265485844,0.000674715265485844
P1:12855,0.0,0.0029078906525967885,0.0,0.0,0.0,0.0005815781305193577,0.0005815781305193577
P5 gd:1696,0.0,0.0,0.0025326864082844333,0.0,0.0,0.0005065372816568867,0.0005065372816568867
P7:31,0.0,0.0,0.0,0.0024629286371474755,0.0,0.0004925857274294951,0.0004925857274294951
MFI:245,0.0024268399325853697,0.0,0.0,0.0,0.0,0.0004853679865170739,0.0004853679865170739
P2:90,0.0,0.0,0.0,0.002371743089913793,0.0,0.0004743486179827586,0.0004743486179827586
P1:12846,0.0,0.002098876857502822,0.0,0.0,0.0,0.0004197753715005644,0.0004197753715005644
MFI:30,0.0,0.0,0.0,0.001720306235203221,0.0,0.00034406124704064423,0.00034406124704064423
MFI:169,0.0,0.0,0.0,0.0015263623372249835,0.0,0.0003052724674449967,0.0003052724674449967
MFI:58,0.0,0.0,0.0014253298529261806,0.0,0.0,0.00028506597058523613,0.00028506597058523613
P5 gd:1199,0.0,0.0014012635480863335,0.0,0.0,0.0,0.0002802527096172667,0.0002802527096172667
P7:159,0.0013970642898020421,0.0,0.0,0.0,0.0,0.00027941285796040843,0.00027941285796040843
P4:3402,0.0,0.0,0.0,0.0009462650151989231,0.0,0.00018925300303978464,0.00018925300303978464
P2:7230,0.0,0.0,0.0007885973284307088,0.0,0.0,0.00015771946568614176,0.00015771946568614176
P5 gd:1174,0.0,0.0,0.0,0.0,0.0007809730442205218,0.00015619460884410435,0.00015619460884410435
P2:761,0.0,0.0,0.0006446315124991726,0.0,0.0,0.0001289263024998345,0.0001289263024998345
P6:80,0.0,0.0006421221017982937,0.0,0.0,0.0,0.00012842442035965873,0.00012842442035965873
