,coef_0,coef_1,coef_2,coef_3,coef_4,mean,abs(mean)
P4:5530,0.05390857550085733,0.11060422456919822,0.0,0.0,0.07792547765414211,0.048487655544839525,0.048487655544839525
P6:76,0.0,0.0,0.0,0.06086547274186721,0.022159039618682517,0.016604902472109946,0.016604902472109946
P4:5539,0.0,0.034403989137005445,0.0,0.04491264003063997,0.0,0.015863325833529084,0.015863325833529084
P5 CD8:109,0.0,0.0,0.0,0.057179950396250484,0.0,0.011435990079250096,0.011435990079250096
MFI:79,0.0,0.0,0.020085851130567534,0.031249827420301322,0.0,0.010267135710173772,0.010267135710173772
P7 Mono:4196,0.012419529666386417,0.0,0.0,0.0,0.0382092004145346,0.010125746016184203,0.010125746016184203
P4:3645,0.0,0.0,0.0,0.0,0.04214835651022556,0.008429671302045113,0.008429671302045113
P7 Mono:3386,0.0,0.0395018394998039,0.0,0.0,0.0,0.00790036789996078,0.00790036789996078
P7:23,0.0,0.0,0.0,0.029077041392773006,0.0,0.0058154082785546015,0.0058154082785546015
MFI:658,0.008963607003265333,0.0,0.012442099762227252,0.0,0.0010418384042490839,0.004489509033948334,0.004489509033948334
MFI:472,0.0,0.02003107892369869,0.0,0.0,0.0,0.004006215784739738,0.004006215784739738
MFI:103,0.0,0.0,0.015340271449397033,0.0,0.0,0.0030680542898794067,0.0030680542898794067
P7 Mono:566,0.0,0.009892774524366708,0.0,0.0,0.0,0.0019785549048733416,0.0019785549048733416
MFI:59,0.0,0.009434136565676357,0.0,0.0,0.0,0.0018868273131352714,0.0018868273131352714
MFI:516,0.0,0.0048417841037539785,0.0,0.0,0.0,0.0009683568207507957,0.0009683568207507957
P1:9993,0.0,0.004598683183494889,0.0,0.0,0.0,0.0009197366366989777,0.0009197366366989777
MFI:224,0.0031744461523058125,0.0,0.0,0.0,0.0,0.0006348892304611625,0.0006348892304611625
MFI:76,0.0,0.0,0.0031324118209927186,0.0,0.0,0.0006264823641985438,0.0006264823641985438
MFI:8,0.0,0.0,0.0015566739822038198,0.0,0.0,0.00031133479644076395,0.00031133479644076395
