,coef_0,coef_1,coef_2,coef_3,coef_4,mean,abs(mean)
P4:5530,0.05252485952766289,0.09750270199363588,0.0008531566521125926,0.0,0.07520481808160256,0.04521710725100278,0.04521710725100278
P4:5539,0.0,0.04611940123812472,0.0,0.04425925100593241,0.0,0.018075730448811424,0.018075730448811424
P6:76,0.0,0.0027947099468048804,0.0,0.05486557042057987,0.020794088482765274,0.015690873770030006,0.015690873770030006
P5 CD8:109,0.0,0.0,0.0,0.0525726406524343,0.0,0.01051452813048686,0.01051452813048686
P7 Mono:4196,0.014079807923652593,0.0,0.0,0.0,0.03740550577997489,0.010297062740725496,0.010297062740725496
MFI:79,0.0,0.0,0.01784900129983279,0.03198164131570749,0.0,0.009966128523108056,0.009966128523108056
P4:3645,0.0,0.0,0.0,0.0,0.04181800728744523,0.008363601457489047,0.008363601457489047
P7 Mono:3386,0.0,0.03490472530383227,0.0,0.0,0.0,0.006980945060766454,0.006980945060766454
P7:23,0.001099001877101717,0.0,0.0,0.02944461979839589,0.0,0.006108724335099521,0.006108724335099521
MFI:658,0.010772022364692699,0.0,0.014301538379839525,0.0,0.004091380276328338,0.005832988204172112,0.005832988204172112
MFI:472,0.0,0.02133508792069533,0.0,0.0,0.0,0.004267017584139067,0.004267017584139067
MFI:103,0.0,0.0,0.016886448098718594,0.0,0.0,0.003377289619743719,0.003377289619743719
P7 Mono:566,0.0,0.013471270069227314,0.0,0.0,0.0,0.0026942540138454626,0.0026942540138454626
MFI:59,0.0,0.012281879230939513,0.0,0.0,0.0,0.0024563758461879025,0.0024563758461879025
MFI:224,0.007852402365449922,0.0,0.0,0.0,0.0,0.0015704804730899843,0.0015704804730899843
MFI:76,0.0,0.0,0.007297058358628673,0.0,0.0,0.0014594116717257346,0.0014594116717257346
MFI:516,0.0,0.007210151052790902,0.0,0.0,0.0,0.0014420302105581802,0.0014420302105581802
P1:9993,0.0,0.006277270469875005,0.0,0.0,0.0,0.001255454093975001,0.001255454093975001
MFI:8,0.0,0.0,0.004305248725863919,0.0,0.0,0.0008610497451727837,0.0008610497451727837
P5 CD8:136,0.0,0.0,0.0,0.0036607804873596155,0.0,0.0007321560974719231,0.0007321560974719231
P7 Mono:4455,0.0,0.00309232966912019,0.0,0.0,0.0,0.000618465933824038,0.000618465933824038
P4:6227,0.0012236944507905854,0.0,0.0,0.0,0.0,0.00024473889015811707,0.00024473889015811707
P2:23259,0.0010240035206066148,0.0,0.0,0.0,0.0,0.00020480070412132295,0.00020480070412132295
