,P5 gd:1927,P5 gd:1727,P5 gd:524,P5 gd:297,MFI:457,P4:5290,P1:12687,P4:82,MFI:122,P1:10321,P1:20365,P1:22213,P1:6061,P7 Mono:1287,P1:773,P2:7231,P7:31,MFI:8,MFI:469
0,-0.0009002624217455957,-0.001379371540012414,0.0001708148865659509,0.00042791529815280893,-0.001892769971655217,0.004834778036194531,-0.001916523441961443,-0.0023322933946983704,0.0017822645993752495,-0.000657645799094192,0.001164077777328243,0.003991207447145484,0.0024711633491464324,0.00813392768688545,0.004824844004759965,0.00638643481332149,0.00875824005452791,0.013302549379319156,0.024048230402345633
1,-0.002480302735451523,-0.003147085313054049,-0.0021696734856882505,-0.0007898708846910962,-0.003907956816664032,-0.004869751125176569,-0.0005631656474489044,-0.0008013605495625908,0.0036331956267637022,0.002188222201809753,-0.00308257895231831,0.00034763898251238823,0.004028213051159246,0.0011929141844012614,0.007373659250899861,0.005830198728864394,0.00550489120026193,0.013952695916098934,0.008603709470226845
2,-0.005971860404273804,-0.0017637579410860749,-0.001312218003438087,-0.0003055411898086058,-0.0007828648040823782,0.0009374513385558281,0.0010809173342729572,0.004060203815461405,0.007908267938983221,0.0011196007449902345,-0.00014381072615951562,0.0012308855929429874,0.006963827584622717,0.004745709637277329,0.005793430666059474,0.007206481721369895,0.01094120929900319,0.004695658205061681,0.02561644893091869
3,-0.0019623658616579887,-0.001062370177906835,-0.0013681948608476602,-0.005179734994644941,0.0010059922219008977,0.00023937467528628575,0.002236744872451485,0.003178937389527181,0.0037594100975881506,0.008285690809160584,0.008373148315961781,0.003071775111758268,0.004786190727042117,0.00617945680350937,0.0031851086719094646,0.0004052043391110649,0.0034561944253749255,0.007614800830443441,0.018496289908854546
4,0.0007324895259628872,0.0023722024882323334,-0.0029216107061649788,0.0005200612889321166,-4.905486248757418e-05,0.006891996822794705,0.001755947974432126,0.0016999566557116264,-0.0018313180572130383,0.003417537732599424,0.0027618982679481763,0.002536761608217364,0.004374600092746511,0.0029843034146504743,0.0010419732136903725,0.005446499173264369,0.006205523853704736,0.010474601340988404,0.022752077016811034
5,-0.006150825277988131,-0.002560834788069205,-0.0003298191831792585,0.0017690430477272923,-0.003389507941808617,0.00041790840739625024,2.8950386786963378e-05,-0.0020121316492863195,0.0035791538792556976,5.50744519977886e-05,0.0027368450303773273,0.0035673495365867725,0.005719120008109035,0.0034519622526586746,0.007134674362878374,0.006269618528645743,0.012276431885637512,0.009234717586737495,0.020934941374163935
6,-0.003366271182861258,-0.005188085376207685,-0.0014781868453659364,-0.0020274548548105953,0.0016945889078045506,-0.0006460260979679888,4.71670890872522e-05,0.0020169029048592024,0.0021033999627118882,0.0035989524686438346,0.008145381889639425,0.009518497067739023,0.0001713756523647192,0.0045207535427088386,0.0028683229261087517,0.008970831947958391,0.01036387005517378,0.004849563502094978,0.03188429629050346
7,-0.005322252634516772,-0.0027934144093369473,-0.0006798736723274135,0.00028333878414271707,-0.00036255535578771925,0.0019304642826027396,-0.00010354875565302124,0.0020718410884266736,0.0045793869759783445,0.005737864484447269,0.0018114598952454763,0.0009881618753728172,0.002287107529208743,8.857140448942369e-05,0.0030802433329449597,0.004325487147822937,0.0024438753491272114,0.007631556504272136,0.010515935807094062
8,-0.0031788539263246374,-0.0019384306212686109,-0.0037987505604403227,-0.007448497783903357,-0.0027891308405085524,-0.01136354014302371,0.0005456168312627518,-0.0030617645973779473,-0.003720822056863776,-0.0029804330024076897,-0.0007387653007763506,-0.0007816087298600782,0.0031744910414381045,0.0038962599909409534,0.004573646897466976,0.0036781960927376456,0.00279368560760071,0.018573972869577626,0.013804127666476262
9,-0.004150882282603713,-0.008364970501937602,-0.0006096043682673191,-0.0010683407380654986,0.0021269229017081837,0.0035598536006647696,0.0015186486159876333,0.0064952738998432236,-0.003224833036875041,0.002520365261463098,0.005686375709863911,0.003390777615979501,0.00031833530050429104,-0.0007477730229509816,0.0039293048872906244,0.008774222475208399,0.006484268429711032,0.007147342367968712,0.029142812923969613
