,label,forward_selected,backward_selected
0,P4:3799,True,True
1,P1:22213,True,True
2,P5 gd:1966,True,False
3,P5 CD8:74,True,False
4,MFI:469,True,True
5,P1:20790,True,True
6,P3:5417,False,False
7,MFI:146,True,False
8,P4:5572,False,False
9,P7 Mono:4045,False,False
10,P1:5949,False,True
11,MFI:149,True,True
12,P1:22240,True,True
13,P4:3706,True,False
14,P1:22834,True,False
15,P1:22913,True,False
16,P6 earlyB:25,True,False
17,P1:495,True,False
18,MFI:652,True,False
19,MFI:144,False,False
20,P1:7363,True,True
21,P7 Mono:6166,False,True
22,P4:3229,False,False
23,P1:9589,True,False
24,P1:6709,True,True
25,MFI:27,True,False
26,MFI:215,True,True
27,P1:22832,True,True
28,P1:20030,False,False
29,P3:5694,True,False
30,P7 Mono:4162,False,True
31,P1:9862,True,True
32,P4:3562,True,False
33,P2:23833,False,False
34,P6:153,True,True
35,P4:3634,True,False
36,P7 Mono:5853,False,False
37,P6 earlyB:135,True,True
38,MFI:224,False,False
39,P5 gd:1778,True,True
40,P7 Mono:6556,True,False
41,P5 gd:826,True,False
42,P4:5481,False,True
43,P7:132,True,True
44,P4:5281,False,False
45,P2:6633,True,False
46,P4:3718,False,True
47,P3:5903,False,True
48,P1:11384,True,True
49,P5 gd:1135,False,False
50,P1:6551,True,True
51,P3:5444,False,False
52,P1:6030,True,True
53,P5 gd:308,True,True
54,P4:3225,False,True
55,P5 gd:832,True,True
56,P3:5414,False,False
57,P3:4627,True,True
58,P7 Mono:4975,True,False
59,P5 gd:634,False,False
60,P2:9216,True,True
61,P1:6021,False,True
62,P2:7298,True,True
63,P7 Mono:6410,True,True
64,P1:9172,False,True
65,P7 Mono:5918,False,True
66,P7 Mono:4205,False,False
67,P6 earlyB:90,True,True
68,P2:21187,False,False
69,P4:5777,False,False
70,P7 Mono:4911,False,True
71,P6 earlyB:126,False,False
72,P7 Mono:1890,True,True
73,P7:23,False,True
74,P1:22915,True,True
75,P7 Mono:5467,False,True
76,P2:8128,False,False
77,P4:3333,True,False
78,P2:1844,True,True
79,MFI:656,True,True
80,P5 gd:1727,True,True
81,P1:20789,True,True
82,P6 earlyB:96,False,True
83,P1:9908,True,True
84,P5 gd:451,False,False
85,P2:11295,False,False
86,P6:295,False,False
87,P4:3472,False,False
88,P1:23356,False,True
89,P2:9262,False,False
90,P2:4840,True,True
91,P2:8981,True,True
92,P1:22700,False,False
93,P6:90,False,False
94,P2:9961,False,False
95,P1:1863,True,True
96,P7:57,False,True
97,P6:9,False,True
98,P2:10896,False,False
99,P6:76,False,False
100,P5 gd:1136,False,False
101,P1:11292,False,False
102,P7 Mono:5493,True,False
103,MFI:68,True,False
104,P5 gd:297,False,False
105,P1:20820,True,True
106,P7 Mono:61,False,True
107,P4:3477,False,False
108,P4:77,False,False
109,P5 gd:632,False,False
110,P1:4428,True,True
111,P2:10454,False,False
112,P5 gd:1413,False,False
113,MFI:22,False,True
114,P4:3231,False,False
115,P5 gd:224,True,True
116,P4:6239,True,True
117,P6 earlyB:192,True,True
118,P2:12680,True,True
119,P1:9841,False,False
120,P4:5571,True,True
121,P7:44,True,True
122,P1:22943,False,True
123,P5 gd:370,False,True
124,P5 gd:1881,True,False
125,P1:20126,True,False
126,P1:9910,True,True
127,P1:12345,True,True
128,P7 Mono:1780,True,True
129,MFI:488,True,True
130,P2:5243,False,False
131,P1:24822,False,False
132,P7 Mono:4124,False,True
133,P4:6235,True,True
134,P1:7608,False,False
135,P2:10861,False,False
136,P5 gd:1658,True,True
137,P2:7301,False,False
138,P2:25264,True,True
139,P7 Mono:3432,False,False
140,P5 gd:401,False,False
141,P1:6133,True,True
142,P6 earlyB:68,True,False
143,P5 gd:669,False,False
144,P4:5373,True,False
145,P7:125,True,False
146,P6 earlyB:16,False,False
147,P5 gd:56,True,True
148,P2:12608,False,True
149,P5 gd:562,True,True
150,MFI:399,False,True
151,P5 gd:434,False,False
152,P3:857,False,True
153,P1:23429,False,True
154,P2:9319,True,False
155,P7 Mono:6426,True,False
156,P3:5728,False,False
157,P1:7237,False,False
158,P1:3860,False,False
159,P7 Mono:6245,False,True
160,P1:1355,False,False
161,P7:238,False,True
162,P2:916,True,True
163,P2:9240,True,False
164,P1:7966,False,False
165,P4:3387,False,False
166,P1:13228,True,True
167,P1:6102,False,True
168,P5 gd:2103,False,True
169,MFI:236,True,True
170,P2:9694,True,True
171,P5 gd:1852,False,True
172,P6 earlyB:37,False,False
173,P5 gd:835,False,False
174,P7:110,True,False
175,P1:6061,True,True
176,P1:8200,False,True
177,P1:4582,True,False
178,P4:5617,False,True
179,P6 earlyB:236,True,True
180,P1:11049,False,False
181,P1:22214,False,False
182,P1:22232,True,False
183,P1:13229,True,False
184,P2:2742,True,False
185,MFI:60,True,False
186,P6 earlyB:172,True,False
187,P7:96,True,True
188,P4:3474,False,True
189,P1:2043,True,False
190,P2:20942,False,True
191,P1:5841,True,True
192,P1:11291,False,False
193,MFI:570,False,True
194,P2:5231,True,False
195,MFI:199,True,True
196,P1:21492,False,True
197,P1:20819,False,False
198,P2:25110,False,False
199,P1:12696,False,True
