,0
data_source,Data/Subsets/clustered_0.5_and_restricted_to_phenos_with_less_thn_10_zeros_20042023.csv
overall_neg_mae,-0.22384820766600788
max_depth,200
n_estimators,300
max_features,0.3
max_samples,0.9
bootstrap,True
min_samples_split,40
run_id,fe54025865ad4836b7a785750c3e5be0
