,alpha,l1_ratio,mae
0,0.001,0.2,-0.2427898380004101
1,0.001,0.21000000000000002,-0.24283096088891218
2,0.001,0.22000000000000003,-0.24284890232758657
3,0.001,0.23000000000000004,-0.24284574471787307
4,0.001,0.24000000000000005,-0.24282096155261745
5,0.001,0.25000000000000006,-0.2428056930371275
6,0.001,0.26000000000000006,-0.24277148860811298
7,0.001,0.2700000000000001,-0.24273590148843685
8,0.001,0.2800000000000001,-0.24271880786827835
9,0.001,0.2900000000000001,-0.24269895753152318
10,0.001,0.3000000000000001,-0.2426837262354369
11,0.001,0.3100000000000001,-0.24266258931765722
12,0.001,0.3200000000000001,-0.24265010740551174
13,0.001,0.3300000000000001,-0.24263052211906885
14,0.001,0.34000000000000014,-0.2425970810871931
15,0.001,0.35000000000000014,-0.24256044624413733
16,0.001,0.36000000000000015,-0.24251590997283692
17,0.001,0.37000000000000016,-0.24246506375594387
18,0.001,0.38000000000000017,-0.24242271513286934
19,0.001,0.3900000000000002,-0.2423743274871675
20,0.001,0.4000000000000002,-0.24232736008795766
21,0.001,0.4100000000000002,-0.242288748672608
22,0.001,0.4200000000000002,-0.24225529699170684
23,0.001,0.4300000000000002,-0.24222078868912347
24,0.001,0.4400000000000002,-0.24218115488124084
25,0.001,0.45000000000000023,-0.24213496505001164
26,0.001,0.46000000000000024,-0.24207211842552384
27,0.001,0.47000000000000025,-0.24199969911827193
28,0.001,0.48000000000000026,-0.24192207849177544
29,0.001,0.49000000000000027,-0.241845545209378
30,0.001,0.5000000000000002,-0.2417720061861915
31,0.001,0.5100000000000002,-0.24169786834352872
32,0.001,0.5200000000000002,-0.24162447241675503
33,0.001,0.5300000000000002,-0.24154550029663735
34,0.001,0.5400000000000003,-0.24146504972552466
35,0.001,0.5500000000000003,-0.24139248449871206
36,0.001,0.5600000000000003,-0.2413303191419093
37,0.001,0.5700000000000003,-0.24126976369880088
38,0.001,0.5800000000000003,-0.24121336560920284
39,0.001,0.5900000000000003,-0.24116831195828223
40,0.001,0.6000000000000003,-0.24112266650637662
41,0.001,0.6100000000000003,-0.24107701800156442
42,0.001,0.6200000000000003,-0.24104275768929923
43,0.001,0.6300000000000003,-0.24099588270797398
44,0.001,0.6400000000000003,-0.24094754601911833
45,0.001,0.6500000000000004,-0.24089950542979333
46,0.001,0.6600000000000004,-0.24085272517857056
47,0.001,0.6700000000000004,-0.24080303924175217
48,0.001,0.6800000000000004,-0.240751304665746
49,0.001,0.6900000000000004,-0.24071014676189378
50,0.001,0.7000000000000004,-0.24067749918725279
51,0.001,0.7100000000000004,-0.24064573259528854
52,0.001,0.7200000000000004,-0.24062204981030538
53,0.001,0.7300000000000004,-0.2405990575825608
54,0.001,0.7400000000000004,-0.24057393285759787
55,0.001,0.7500000000000004,-0.24054606361330189
56,0.001,0.7600000000000005,-0.24051066918151362
57,0.001,0.7700000000000005,-0.24046380528908404
58,0.001,0.7800000000000005,-0.24041544996580586
59,0.001,0.7900000000000005,-0.2403686890516506
60,0.001,0.8000000000000005,-0.24032186954404264
61,0.001,0.8100000000000005,-0.24027874854154951
62,0.001,0.8200000000000005,-0.24023680822482865
63,0.001,0.8300000000000005,-0.24018745275440598
64,0.001,0.8400000000000005,-0.24014438969794297
65,0.001,0.8500000000000005,-0.24010761293809427
66,0.001,0.8600000000000005,-0.2400712141725464
67,0.001,0.8700000000000006,-0.24004196761833013
68,0.001,0.8800000000000006,-0.24001645862128557
69,0.001,0.8900000000000006,-0.23997893907074397
70,0.001,0.9000000000000006,-0.23994709455073507
71,0.001,0.9100000000000006,-0.23991470517449462
72,0.001,0.9200000000000006,-0.2398771066259993
73,0.001,0.9300000000000006,-0.23983814150006363
74,0.001,0.9400000000000006,-0.239800338133484
75,0.001,0.9500000000000006,-0.2397612302044218
76,0.001,0.9600000000000006,-0.2397184738586171
77,0.001,0.9700000000000006,-0.23967897352960546
78,0.001,0.9800000000000006,-0.2396410768383674
79,0.001,0.9900000000000007,-0.2396096959289355
80,0.003,0.2,-0.23761954390987086
81,0.003,0.21000000000000002,-0.2374049850817074
82,0.003,0.22000000000000003,-0.23718987396924612
83,0.003,0.23000000000000004,-0.23698245436100532
84,0.003,0.24000000000000005,-0.23678293958091304
85,0.003,0.25000000000000006,-0.23656551531749567
86,0.003,0.26000000000000006,-0.2363393752212371
87,0.003,0.2700000000000001,-0.23612022013046247
88,0.003,0.2800000000000001,-0.23590295344215162
89,0.003,0.2900000000000001,-0.23569243384248711
90,0.003,0.3000000000000001,-0.2354873477113695
91,0.003,0.3100000000000001,-0.23528112344088972
92,0.003,0.3200000000000001,-0.2350734896160057
93,0.003,0.3300000000000001,-0.23487196163889917
94,0.003,0.34000000000000014,-0.2346716436757373
95,0.003,0.35000000000000014,-0.23446592684356837
96,0.003,0.36000000000000015,-0.23426549494682666
97,0.003,0.37000000000000016,-0.23407567455815853
98,0.003,0.38000000000000017,-0.23388550222145224
99,0.003,0.3900000000000002,-0.2336977783124969
100,0.003,0.4000000000000002,-0.23351526083749505
101,0.003,0.4100000000000002,-0.23332950776158276
102,0.003,0.4200000000000002,-0.23315707494451346
103,0.003,0.4300000000000002,-0.23299117756196436
104,0.003,0.4400000000000002,-0.23283034421762974
105,0.003,0.45000000000000023,-0.2326662882339929
106,0.003,0.46000000000000024,-0.23250991327421874
107,0.003,0.47000000000000025,-0.2323534831666126
108,0.003,0.48000000000000026,-0.23219145569502972
109,0.003,0.49000000000000027,-0.2320227935657792
110,0.003,0.5000000000000002,-0.23184842573297823
111,0.003,0.5100000000000002,-0.23167591260902295
112,0.003,0.5200000000000002,-0.23150732223467327
113,0.003,0.5300000000000002,-0.2313277384537349
114,0.003,0.5400000000000003,-0.23114849758707556
115,0.003,0.5500000000000003,-0.23096715010570382
116,0.003,0.5600000000000003,-0.23078024342080866
117,0.003,0.5700000000000003,-0.23059302745242602
118,0.003,0.5800000000000003,-0.23040303132165196
119,0.003,0.5900000000000003,-0.23020723848492602
120,0.003,0.6000000000000003,-0.23001486299773954
121,0.003,0.6100000000000003,-0.2298190675857663
122,0.003,0.6200000000000003,-0.229623074254359
123,0.003,0.6300000000000003,-0.2294308616291567
124,0.003,0.6400000000000003,-0.22924053707451678
125,0.003,0.6500000000000004,-0.22905304623089956
126,0.003,0.6600000000000004,-0.2288730929108396
127,0.003,0.6700000000000004,-0.2286982123736672
128,0.003,0.6800000000000004,-0.22852456491564258
129,0.003,0.6900000000000004,-0.22835495294933725
130,0.003,0.7000000000000004,-0.22819414356314985
131,0.003,0.7100000000000004,-0.22803234570741684
132,0.003,0.7200000000000004,-0.22786289894631567
133,0.003,0.7300000000000004,-0.2276923547746098
134,0.003,0.7400000000000004,-0.2275318379959835
135,0.003,0.7500000000000004,-0.22737174561907905
136,0.003,0.7600000000000005,-0.2272140131867787
137,0.003,0.7700000000000005,-0.22705856973569905
138,0.003,0.7800000000000005,-0.2269056246151665
139,0.003,0.7900000000000005,-0.2267607598419028
140,0.003,0.8000000000000005,-0.22661276233132618
141,0.003,0.8100000000000005,-0.2264743321070439
142,0.003,0.8200000000000005,-0.22633650753915482
143,0.003,0.8300000000000005,-0.22620030229895194
144,0.003,0.8400000000000005,-0.22607009851569532
145,0.003,0.8500000000000005,-0.225924439420921
146,0.003,0.8600000000000005,-0.22578722306275337
147,0.003,0.8700000000000006,-0.22564840154780616
148,0.003,0.8800000000000006,-0.2255161121034102
149,0.003,0.8900000000000006,-0.22539011126905545
150,0.003,0.9000000000000006,-0.22526200468220361
151,0.003,0.9100000000000006,-0.22513439561837548
152,0.003,0.9200000000000006,-0.2250192728015689
153,0.003,0.9300000000000006,-0.22489286043570753
154,0.003,0.9400000000000006,-0.2247671525543447
155,0.003,0.9500000000000006,-0.22464370431899044
156,0.003,0.9600000000000006,-0.2245236414046404
157,0.003,0.9700000000000006,-0.22441163066124672
158,0.003,0.9800000000000006,-0.2242987698985868
159,0.003,0.9900000000000007,-0.22418977893208455
160,0.005,0.2,-0.23330075084646004
161,0.005,0.21000000000000002,-0.23295897673467447
162,0.005,0.22000000000000003,-0.23263032814993526
163,0.005,0.23000000000000004,-0.23231492895690103
164,0.005,0.24000000000000005,-0.23201124798414258
165,0.005,0.25000000000000006,-0.23168617895345392
166,0.005,0.26000000000000006,-0.2313670735673218
167,0.005,0.2700000000000001,-0.23106743616366784
168,0.005,0.2800000000000001,-0.230781479924821
169,0.005,0.2900000000000001,-0.23050784320529683
170,0.005,0.3000000000000001,-0.2302538723318612
171,0.005,0.3100000000000001,-0.2299961972332546
172,0.005,0.3200000000000001,-0.22974575235162403
173,0.005,0.3300000000000001,-0.2294754628867111
174,0.005,0.34000000000000014,-0.22920677177589793
175,0.005,0.35000000000000014,-0.22892174514547722
176,0.005,0.36000000000000015,-0.22864125954363612
177,0.005,0.37000000000000016,-0.2283598146937708
178,0.005,0.38000000000000017,-0.2280828796287456
179,0.005,0.3900000000000002,-0.22781207663658332
180,0.005,0.4000000000000002,-0.2275435521849036
181,0.005,0.4100000000000002,-0.22729103256074243
182,0.005,0.4200000000000002,-0.22705390552982277
183,0.005,0.4300000000000002,-0.2268214540276813
184,0.005,0.4400000000000002,-0.22656281109535423
185,0.005,0.45000000000000023,-0.22630269097140376
186,0.005,0.46000000000000024,-0.22603934483395233
187,0.005,0.47000000000000025,-0.22578009666915394
188,0.005,0.48000000000000026,-0.2255333656520682
189,0.005,0.49000000000000027,-0.22530615009671354
190,0.005,0.5000000000000002,-0.2250896159696661
191,0.005,0.5100000000000002,-0.22489009035423416
192,0.005,0.5200000000000002,-0.22469725189914788
193,0.005,0.5300000000000002,-0.2245037456874508
194,0.005,0.5400000000000003,-0.22431586029482276
195,0.005,0.5500000000000003,-0.2241220122557794
196,0.005,0.5600000000000003,-0.22392052911112054
197,0.005,0.5700000000000003,-0.22372261323353443
198,0.005,0.5800000000000003,-0.22352126679187048
199,0.005,0.5900000000000003,-0.22332208150447172
200,0.005,0.6000000000000003,-0.22312454666192702
201,0.005,0.6100000000000003,-0.22293873592389787
202,0.005,0.6200000000000003,-0.22275700566474385
203,0.005,0.6300000000000003,-0.22257649710233968
204,0.005,0.6400000000000003,-0.22241335772309725
205,0.005,0.6500000000000004,-0.22225648533136244
206,0.005,0.6600000000000004,-0.22211188497079623
207,0.005,0.6700000000000004,-0.22197253040038717
208,0.005,0.6800000000000004,-0.22183873920081185
209,0.005,0.6900000000000004,-0.2217157672691826
210,0.005,0.7000000000000004,-0.22159591848848517
211,0.005,0.7100000000000004,-0.22147039177819666
212,0.005,0.7200000000000004,-0.2213470495024885
213,0.005,0.7300000000000004,-0.2212235587179242
214,0.005,0.7400000000000004,-0.22110813611332217
215,0.005,0.7500000000000004,-0.22099780663345425
216,0.005,0.7600000000000005,-0.22089101986772203
217,0.005,0.7700000000000005,-0.22079049187716435
218,0.005,0.7800000000000005,-0.2206953806964802
219,0.005,0.7900000000000005,-0.220609770062938
220,0.005,0.8000000000000005,-0.22052248459649054
221,0.005,0.8100000000000005,-0.22043803407368234
222,0.005,0.8200000000000005,-0.22035483552365034
223,0.005,0.8300000000000005,-0.2202682138344643
224,0.005,0.8400000000000005,-0.22018404416042525
225,0.005,0.8500000000000005,-0.22011016034646094
226,0.005,0.8600000000000005,-0.22004759994601722
227,0.005,0.8700000000000006,-0.21998766964623814
228,0.005,0.8800000000000006,-0.2199342369344816
229,0.005,0.8900000000000006,-0.21988077610423706
230,0.005,0.9000000000000006,-0.219826920774783
231,0.005,0.9100000000000006,-0.21977672079193447
232,0.005,0.9200000000000006,-0.21972647831536746
233,0.005,0.9300000000000006,-0.21967805925977418
234,0.005,0.9400000000000006,-0.21962239702975497
235,0.005,0.9500000000000006,-0.2195639493472785
236,0.005,0.9600000000000006,-0.2195052459447319
237,0.005,0.9700000000000006,-0.2194455896380272
238,0.005,0.9800000000000006,-0.21939477457820825
239,0.005,0.9900000000000007,-0.21934382576925424
240,0.007,0.2,-0.22990473642209244
241,0.007,0.21000000000000002,-0.2294975101956702
242,0.007,0.22000000000000003,-0.2291084113666418
243,0.007,0.23000000000000004,-0.2287603542783795
244,0.007,0.24000000000000005,-0.2284135909826818
245,0.007,0.25000000000000006,-0.22806001242257873
246,0.007,0.26000000000000006,-0.22769874868095072
247,0.007,0.2700000000000001,-0.22733888381032089
248,0.007,0.2800000000000001,-0.2269992899065392
249,0.007,0.2900000000000001,-0.22667481851183094
250,0.007,0.3000000000000001,-0.22637430050750973
251,0.007,0.3100000000000001,-0.22607068450661388
252,0.007,0.3200000000000001,-0.22575287632337535
253,0.007,0.3300000000000001,-0.22543933567707805
254,0.007,0.34000000000000014,-0.22510522275145078
255,0.007,0.35000000000000014,-0.22479227941046917
256,0.007,0.36000000000000015,-0.22449910388726493
257,0.007,0.37000000000000016,-0.22422762154260847
258,0.007,0.38000000000000017,-0.22397551957746248
259,0.007,0.3900000000000002,-0.22372252074235516
260,0.007,0.4000000000000002,-0.22347778312756886
261,0.007,0.4100000000000002,-0.22322609780493147
262,0.007,0.4200000000000002,-0.2229774398136843
263,0.007,0.4300000000000002,-0.22274076108320776
264,0.007,0.4400000000000002,-0.2225025025121414
