,max_depth,n_estimators,max_features,neg_mae
0,1,300,0.3,-0.2143002798280656
1,2,300,0.3,-0.20816478630732996
2,3,300,0.3,-0.2034775661385678
3,4,300,0.3,-0.20019773149379205
4,5,300,0.3,-0.19760841566629916
5,6,300,0.3,-0.1964088896271834
6,7,300,0.3,-0.19559586393842127
7,8,300,0.3,-0.1951823404108622
8,9,300,0.3,-0.1950230744148545
9,10,300,0.3,-0.19488206179445935
