,label,forward_selected,backward_selected
0,P7 Mono:4045,False,False
1,P1:22913,True,True
2,MFI:469,True,True
3,P1:22213,True,True
4,P2:19837,True,False
5,P4:3799,True,True
6,P2:8332,True,True
7,P7 Mono:9,True,True
8,P3:5417,True,False
9,P7 Mono:4162,False,False
10,P7 Mono:6487,True,True
11,P4:3231,False,False
12,MFI:146,True,False
13,P2:25263,False,False
14,P6 earlyB:25,True,False
15,P3:5694,False,False
16,P5 gd:1778,True,True
17,P7 Mono:6296,False,True
18,P7 Mono:5853,False,True
19,MFI:22,True,False
20,MFI:91,True,False
21,P6:237,True,True
22,P7 Mono:5918,False,True
23,P5 gd:1966,True,True
24,P1:20790,True,False
25,P2:1844,True,False
26,MFI:149,True,True
27,P1:20820,True,False
28,P1:20030,True,False
29,P1:9862,True,True
30,P6 earlyB:90,False,False
31,P4:3472,False,False
32,P1:10573,True,False
33,P5 gd:58,False,True
34,P2:17750,False,False
35,P1:6030,True,True
36,P4:3718,False,True
37,P2:18213,False,False
38,P1:22915,True,True
39,P2:23133,False,True
40,P7:31,False,False
41,P1:25133,False,False
42,P7:44,False,True
43,MFI:68,False,True
44,P7:137,False,False
45,MFI:488,False,False
46,P4:5520,True,True
47,P7 Mono:4135,True,True
48,P2:22065,True,True
49,P7 Mono:3476,True,False
50,P4:3234,True,False
51,P2:6633,False,False
52,P7:57,True,False
53,P4:5685,False,False
54,P1:12372,True,True
55,MFI:236,True,False
56,P2:218,True,False
57,P2:9216,True,True
58,P1:9908,True,True
59,P2:25228,True,True
60,P1:1234,False,True
61,P1:5440,True,True
62,P5 gd:451,False,True
63,P5 gd:853,False,False
64,P4:5325,True,True
65,P1:10222,False,True
66,P5 gd:224,True,False
67,P2:9008,True,True
68,P1:5974,True,True
69,P1:495,True,True
70,MFI:503,True,False
71,P1:2124,True,True
72,P1:22834,True,True
73,P4:3463,False,False
74,P5 gd:596,True,True
75,P2:154,True,False
76,P1:16464,False,False
77,P6 earlyB:192,False,False
78,P3:262,True,False
79,P4:3477,False,False
80,P2:16902,False,True
81,P4:4823,True,True
82,P2:15398,True,False
83,P3:5452,False,True
84,P1:21492,False,False
85,P2:9961,True,True
86,P2:24517,False,True
87,P5 gd:632,False,True
88,P1:20365,False,False
89,P6 earlyB:241,False,False
90,P2:47,False,False
91,Lin:48,True,True
92,P2:17432,True,True
93,P2:20911,True,True
94,P2:9,False,True
95,P2:23914,True,True
96,P2:11259,False,False
97,P1:20793,False,False
98,P5 gd:1118,True,True
99,P2:17747,True,True
100,MFI:224,False,False
101,P1:9600,False,True
102,P5 gd:308,True,False
103,P2:3693,False,True
104,P5 gd:47,True,True
105,P7 Mono:5557,True,False
106,P3:7882,True,True
107,P7 Mono:4124,True,False
108,P1:11785,False,False
109,P7 Mono:1780,True,True
110,P5 gd:549,False,False
111,P2:14727,False,False
112,P5 gd:253,False,False
113,P1:9628,False,False
114,P3:5693,False,False
115,P2:2145,False,True
116,P2:21187,True,True
117,P1:1863,True,False
118,P7 Mono:6556,True,False
119,P2:2168,True,True
120,P7 Mono:1890,True,False
121,P2:4840,True,True
122,P5 gd:826,False,False
123,P2:7082,True,False
124,P5 gd:562,False,False
125,P1:7515,False,False
126,P1:6515,True,True
127,P1:4004,False,False
128,P2:12855,True,True
129,P2:17570,False,False
130,P7:131,False,False
131,P1:16899,True,True
132,P1:17633,False,True
133,P1:9838,True,False
134,P2:1736,False,False
135,P1:8442,False,True
136,P3:3836,False,False
137,P1:263,True,True
138,P3:935,False,False
139,P7 Mono:2771,True,False
140,P3:5696,False,False
141,P1:259,False,True
142,P7 Mono:5412,True,True
143,P4:5530,True,False
144,P5 gd:1895,True,True
145,P4:3706,True,False
146,P1:8791,False,True
147,P1:9586,True,True
148,P5 gd:1786,True,True
149,P6 earlyB:57,False,True
150,P1:20819,False,True
151,P1:7773,True,True
152,P1:19929,True,False
153,P1:19925,True,True
154,P1:19765,False,True
155,P5 gd:1894,True,True
156,P2:14987,True,False
157,P1:8039,False,True
158,P4:5571,True,True
159,P1:7951,False,True
160,MFI:433,False,False
161,P6 earlyB:211,False,True
162,P5 gd:1271,False,True
163,P2:8607,True,True
164,P1:1233,True,True
165,P2:9319,True,False
166,P3:5698,True,False
167,MFI:27,False,False
168,P2:17666,True,True
169,P2:25209,False,True
170,P5 gd:1413,False,False
171,P2:41,True,True
172,P1:733,False,True
173,P1:22930,False,True
174,P5 gd:823,False,False
175,MFI:152,False,True
176,P2:25482,False,True
177,P2:17675,False,True
178,P6:231,False,False
179,P3:110,False,False
180,P1:20789,True,True
181,P1:6130,True,True
182,MFI:280,True,False
183,P1:19198,False,False
184,P1:7372,True,True
185,P7 Mono:5638,True,False
186,P1:5938,False,True
187,P3:5903,False,True
188,P7 Mono:6260,False,True
189,P1:22240,True,True
190,P1:22916,False,False
191,P1:15046,True,False
192,P1:9999,True,False
193,P1:17375,True,False
194,P2:23164,False,False
195,P1:9560,False,False
196,P1:21497,False,True
197,P2:12528,False,False
198,P2:17305,True,True
199,P5 gd:548,False,False
200,P1:10329,False,True
201,P2:13384,False,False
202,P2:21113,True,False
203,P1:22471,False,False
204,P1:25902,False,True
205,P3:7276,False,False
206,P7 Mono:5863,False,True
207,P5 gd:1780,False,False
208,MFI:92,False,True
209,P5 NKT:308,False,False
210,P1:6551,True,True
211,P5 CD8:115,False,False
212,P3:2513,False,False
213,P7 Mono:5599,False,False
214,P1:4594,False,False
215,P1:9707,True,True
216,P1:14581,True,True
217,P4:3306,False,False
218,P2:5903,True,True
219,P1:24822,False,False
220,P5 gd:493,True,False
221,P1:22132,False,False
222,P1:3175,False,False
223,P1:2382,True,True
224,P5 gd:936,False,False
