,0
baseline,-0.2113346106835233
avg_neg_mae_tt,-0.1643563839480129
avg_neg_mae_vv,-0.1871610027853741
avg_neg_mae_tv,-0.21175581397762483
data_source,Analysis/RandomForest/May/24052023/24052023_7/rf_fs_bs_candidate_features_275_28052023_7.csv
partition_training_dataset,True
fs_bs_filter,2
n_splits,4
n_repeats,5
random_state,336
impute,True
standardise,True
normalise,True
strategy,mean
max_depth,6
n_estimators,100
max_features,0.3
max_samples,0.9
bootstrap,True
min_samples_split,40
features,"['MFI:469', 'P4:3799', 'P2:8332', 'P4:3231', 'MFI:146', 'P5 gd:1778', 'MFI:91', 'P6:237', 'P5 gd:1966', 'P1:20790', 'MFI:149', 'P1:20030', 'P6 earlyB:90', 'P5 gd:58', 'P7:31', 'P7:44', 'P4:5520', 'P2:22065', 'P1:12372', 'MFI:236', 'P2:218', 'P1:9908', 'P1:5440', 'P5 gd:224', 'P2:9008', 'P1:22834', 'P5 gd:596', 'P6 earlyB:192', 'P4:3477', 'P4:4823', 'P3:5452', 'P1:21492', 'P1:20365', 'P6 earlyB:241', 'Lin:48', 'P2:17432', 'P2:17747', 'P5 gd:47', 'P7 Mono:1780', 'P2:21187', 'P1:1863', 'P7 Mono:1890', 'P1:6515', 'P2:12855', 'P1:16899', 'P1:8442', 'P1:263', 'P3:5696', 'P7 Mono:5412', 'P5 gd:1895', 'P4:3706', 'P5 gd:1786', 'P1:19925', 'P2:25209', 'P2:25482', 'P2:17675', 'P1:6130', 'P1:19198', 'P1:7372', 'P3:5903', 'P7 Mono:6260', 'P1:22240', 'P2:17305', 'P2:13384', 'P7 Mono:5863', 'P5 gd:1780', 'P1:6551', 'P1:4594', 'P4:5563', 'P1:22214', 'P7:84', 'P5 gd:835', 'P7 Mono:4857', 'P4:4162', 'P5 gd:1121', 'P1:12237', 'P2:23670']"
