,labels,en_betas,abs(en_betas)
10058,MFI:469,-0.1645696882248624,0.1645696882248624
9039,P1:22213,-0.10314005556369878,0.10314005556369878
1972,P4:6227,0.058998781841614084,0.058998781841614084
1301,P5 gd:524,0.05401777635572567,0.05401777635572567
2322,P4:3799,-0.05131175305300473,0.05131175305300473
159,P7:107,0.0377182572942058,0.0377182572942058
2125,P4:5290,0.03590939667591279,0.03590939667591279
4473,P2:7234,0.03411480582734254,0.03411480582734254
1494,P5 gd:1927,0.03259979345295161,0.03259979345295161
9648,P1:12687,-0.03175660042838575,0.03175660042838575
840,P7 Mono:1287,0.030951124410747866,0.030951124410747866
9836,P1:10321,-0.030491208933265734,0.030491208933265734
2091,P4:5530,0.030054270943573377,0.030054270943573377
9897,MFI:8,0.028935049699274108,0.028935049699274108
8947,P1:22700,-0.011044070961685113,0.011044070961685113
1564,P5 gd:1625,0.009436476892060707,0.009436476892060707
10065,MFI:457,0.00939076136586445,0.00939076136586445
9647,P1:12696,-0.008747311130545367,0.008747311130545367
1848,P4:82,-0.007990777918356689,0.007990777918356689
10271,MFI:160,0.007373425883748749,0.007373425883748749
7672,P1:6061,-0.006587463346076555,0.006587463346076555
10298,MFI:131,0.003396806318400078,0.003396806318400078
1305,P5 gd:515,0.0032481723363972383,0.0032481723363972383
197,P7 Mono:930,0.002927506619700584,0.002927506619700584
3132,P3:5906,0.002237409615587066,0.002237409615587066
9581,P1:13393,-0.0019531131141197287,0.0019531131141197287
1648,P5 gd:1328,-0.0010601063681056726,0.0010601063681056726
7424,P1:773,0.0005243583681334929,0.0005243583681334929
