,label,forward_selected,backward_selected
0,P7 Mono:5308,FALSE,FALSE
1,P4:5179,FALSE,FALSE
2,P4:5927,FALSE,FALSE
3,P6 earlyB:127,FALSE,FALSE
4,P5 CD8:148,FALSE,FALSE
6,P1:5924,FALSE,FALSE
8,P2:25272,FALSE,FALSE
11,P4:5260,FALSE,FALSE
12,MFI:121,FALSE,FALSE
13,P2:23337,FALSE,FALSE
15,P2:25248,FALSE,FALSE
19,P7 Mono:930,FALSE,FALSE
22,P3:5660,FALSE,FALSE
23,P4:6239,FALSE,FALSE
28,P1:12669,FALSE,TRUE
30,P3:8351,FALSE,FALSE
31,MFI:131,FALSE,FALSE
32,P5 gd:1114,FALSE,FALSE
33,P4:6212,FALSE,FALSE
35,P3:8587,FALSE,FALSE
37,P5 gd:1727,FALSE,FALSE
38,P2:11733,FALSE,FALSE
39,P2:11734,FALSE,FALSE
40,P1:22453,FALSE,FALSE
42,P5 gd:274,FALSE,FALSE
43,P5 gd:1934,FALSE,FALSE
44,P7 Mono:5604,FALSE,FALSE
46,P3:5097,TRUE,FALSE
53,P4:6131,FALSE,FALSE
57,P2:22358,FALSE,FALSE
58,P4:3808,FALSE,FALSE
60,P4:5206,FALSE,FALSE
62,P5 gd:1983,FALSE,FALSE
64,P4:3781,FALSE,FALSE
66,P1:12660,TRUE,FALSE
67,P7 Mono:5527,FALSE,FALSE
68,P4:6000,FALSE,FALSE
70,P4:5287,FALSE,FALSE
75,P1:10537,FALSE,TRUE
76,P7 Mono:5554,FALSE,FALSE
77,P1:10536,FALSE,FALSE
79,P4:82,FALSE,FALSE
80,P1:20127,FALSE,FALSE
83,P4:6158,FALSE,FALSE
85,P3:8354,FALSE,FALSE
86,P5 gd:459,FALSE,FALSE
87,P7 Mono:3872,FALSE,FALSE
5,P3:5879,TRUE,TRUE
7,P4:4546,TRUE,TRUE
9,P3:856,TRUE,TRUE
10,P5 gd:382,TRUE,TRUE
14,P3:5166,TRUE,TRUE
16,P4:3087,TRUE,TRUE
17,P3:7900,TRUE,TRUE
18,P1:22210,TRUE,TRUE
20,P3:7978,TRUE,TRUE
21,MFI:457,TRUE,TRUE
24,MFI:469,TRUE,TRUE
25,P3:5798,TRUE,TRUE
26,P2:22439,TRUE,TRUE
27,P4:5491,TRUE,TRUE
29,P1:20389,TRUE,TRUE
34,P5 gd:1699,TRUE,TRUE
36,P1:20054,TRUE,TRUE
41,P7 Mono:5284,TRUE,TRUE
45,P4:6286,TRUE,TRUE
47,P7 Mono:5311,TRUE,TRUE
48,MFI:16,TRUE,TRUE
49,P2:1643,TRUE,TRUE
50,P1:10564,TRUE,TRUE
51,P4:5281,TRUE,TRUE
52,P1:22213,TRUE,TRUE
54,P1:24828,TRUE,TRUE
55,P7 Mono:6426,TRUE,TRUE
56,P1:23378,TRUE,TRUE
59,P3:7897,TRUE,TRUE
61,P5 gd:1702,TRUE,TRUE
63,P5 gd:197,TRUE,TRUE
65,P5 gd:370,TRUE,TRUE
69,P5 gd:265,TRUE,TRUE
71,P5 gd:1328,TRUE,TRUE
72,P4:5254,TRUE,TRUE
73,P2:20142,TRUE,TRUE
74,P1:20308,TRUE,TRUE
78,P4:4794,TRUE,TRUE
81,MFI:472,TRUE,TRUE
82,P2:24551,TRUE,TRUE
84,P5 gd:169,TRUE,TRUE
88,P4:32,TRUE,TRUE
89,MFI:570,TRUE,TRUE
