,labels
725,P7 Mono:5308
1078,P4:5179
4987,P5 CD8:148
5358,P3:5879
6438,P5 gd:382
6487,P4:5260
9325,P7 Mono:1287
12285,P3:5166
13269,P1:22210
14798,MFI:457
15147,P4:6239
15899,MFI:469
17184,P1:12669
17205,P1:20389
18348,P1:23925
19522,MFI:131
19976,P5 gd:1114
20243,P4:6212
20527,P2:7652
21150,P4:3052
21796,P7 Mono:5317
22545,P1:20054
27515,P1:23196
28822,P5 gd:373
29140,P1:20711
31233,P7 Mono:5311
35169,P1:10564
36159,P7 Mono:5551
37145,P4:5281
37846,P1:22213
37917,P4:6131
40638,P4:5206
41786,P5 gd:1983
42953,P5 gd:370
43678,P4:3796
46257,P1:12660
49338,P4:5287
50978,P4:5254
52770,MFI:21
52906,P7 Mono:5554
53329,P1:10536
54857,P4:3769
56984,P4:3075
58755,P7 Mono:5320
59151,P1:20127
59722,P4:6158
61174,P3:8354
61501,P7 Mono:4115
61943,P7 Mono:3872
62430,MFI:570
