,P7 Mono:566,P7 Mono:3386,P1:9993,MFI:516,P6:76,P4:3645,P4:5530
0,-0.0016043541954392782,6.914994940820929e-07,-0.00030606163218907523,0.004801743537556524,0.002681901199017178,0.00770959557227599,0.007215113674193058
1,0.0021265723038761675,-3.530508097276952e-05,0.0033034997900244223,0.0018487195051244687,0.004953332507410091,0.008881759633414171,0.006380664570808853
2,-0.006078859065679454,6.236876918028211e-05,0.0017300344816651159,0.0014721456810036782,0.0011888750145006288,0.005943645267898784,0.002565335052337747
3,-0.0032503133822358865,6.4025385129728996e-06,0.0036191780979484556,0.0024508432077872955,0.0054973142235264505,0.005685062860472295,0.005413141621772671
4,-0.004489729266221404,5.426251601983734e-05,0.0022718202054709535,0.00557311056246973,0.00043012950442294917,0.004212193924464647,0.011173150381636743
5,-0.006928231986273403,2.390807899280145e-05,0.0033999790532760754,0.004684863104731984,0.0031983596688491545,0.0063537969911185155,0.0073264835947702
6,-0.0023400871022502823,1.827852752331327e-05,0.0037601027351281957,0.00489893421376178,0.00666457898221548,0.0046240718176990825,0.0019356642609354158
7,-0.0011176857275566054,-2.5381386447032028e-05,0.004753426452207832,0.0026780380509427992,0.00618990878318551,-0.0015364678053819136,0.006890221447178602
8,0.001055560572402997,-1.2521225319500617e-05,-7.880766279941276e-05,0.005092723111763786,0.003161655620952303,0.004533221707455404,0.002660863890610099
9,-0.005925206393317312,6.661697946780398e-05,0.0035518818437465793,0.0032008357513354235,0.0032156379799155588,0.005443206475101131,0.008521856135882078
