,0
P4:3799,0.007658623611936378
MFI:469,0.007028588272251759
P3:5417,0.005969880662629777
P6:237,0.005943822820337781
P7:132,0.005629148012859225
P2:9216,0.0048308817626617285
P4:3475,0.004651986115503918
P1:22213,0.004059699873326716
P5 CD8:74,0.0039642548206734445
P1:22214,0.003621896042404651
P7:57,0.0034248122349950848
P5 gd:551,0.0032274294077011974
P1:6021,0.0031795041430632233
P6 earlyB:25,0.00315206565709595
MFI:146,0.0031284137701015793
P3:4627,0.003115826058691517
P3:7737,0.0031022129190662155
P1:9908,0.0029267171406759528
P3:857,0.0029115884100804736
P1:22832,0.002848715657658968
P5 gd:1667,0.0028372008798322043
P7 Mono:6426,0.002816072877390772
P1:6133,0.0027991065418891264
P4:5572,0.002769801057058792
P4:3384,0.002719130676490808
P1:20819,0.0026969174757277554
P5 gd:1966,0.002653249714368446
P5 gd:224,0.002554922324438078
P4:5725,0.0025310952361039182
P6:79,0.0025183685495980793
P7 Mono:9,0.002433256821636437
P1:9861,0.0024133697950903645
P1:10725,0.0024110386009719765
P5 CD8:41,0.0023866856646110437
P7 Mono:6260,0.002364739073949375
P1:5442,0.002294232005565297
P5 gd:2015,0.0022670194631784876
P2:8332,0.002264872686619428
P6 earlyB:212,0.0022487492600054976
P3:5697,0.0022180720512149166
MFI:22,0.002200815888205733
P2:154,0.0021749661291165794
P7 Mono:6556,0.002152195603314612
P1:25133,0.0021474637248137013
P5 gd:35,0.002140397319942017
P4:3556,0.0021365276569433552
P7:56,0.0021283528623416395
P2:8981,0.002121531999365424
P1:20793,0.002058326738857661
P1:9841,0.0020499644123683244
P1:308,0.0020369964892581814
P2:2743,0.002029467385081922
P7 Mono:4938,0.00202668960291847
P5 gd:133,0.002021008746178474
P1:22915,0.002015629990799274
P1:21497,0.001995345375261273
P6 earlyB:126,0.0019946576902110554
P1:403,0.0019797933380571106
P1:11941,0.0019408824795343583
P1:6030,0.001910207942896959
P5 gd:443,0.0019092941795933475
P5 gd:1628,0.0018698703427115152
P5 gd:945,0.0018538322941204306
P7 Mono:5494,0.0018528445906453338
P2:652,0.0018409185302034699
P4:4754,0.0018396403411827422
P3:2509,0.0018364590290460114
P4:3225,0.0018269090252393582
P6:100,0.0017952710405182294
MFI:38,0.0017913471789930287
P4:3234,0.0017860458904460153
P1:10296,0.0017847599683180647
P2:9289,0.0017755156232088136
P2:9702,0.001769040309406579
P6:231,0.0017658184078176897
P6:95,0.0017641010116703508
P2:9008,0.0017079340542585852
P2:2168,0.001705319406507922
P7 Mono:6247,0.0017048410501387138
P2:8651,0.0016902836264860663
P4:3150,0.0016766082876740987
P4:6235,0.0016706526118824446
P1:13193,0.001668292413448042
P2:20190,0.001659909394160653
P6:218,0.0016536949450771598
P1:20789,0.001652462397411064
P2:2845,0.001625509831255461
P5 CD8:64,0.0016252437413203115
P4:5490,0.001620242783574658
P1:12696,0.0016101702664230973
P7 Mono:948,0.0016038815393723154
P4:6538,0.0016037646868396977
P1:3932,0.0015989303723708654
P2:13324,0.0015926651531842956
P1:23429,0.0015923028184544278
P1:6113,0.0015681467419075322
P7:38,0.0015596540725396236
P2:7298,0.001555198270397232
P2:476,0.001547013167246824
P1:22129,0.0015400392676363978
P1:843,0.0015399809468104315
P1:22943,0.0015076244008513377
P7:40,0.0015056535748287363
P7 Mono:6296,0.0015008302310479495
P5 gd:1778,0.0015000568805621957
P1:5440,0.0014948045307382803
P7 Mono:3409,0.0014947065378156396
P2:8309,0.0014942261588404223
P2:54,0.0014866410178895225
P7 Mono:5521,0.0014743440937320272
P7 Mono:5557,0.0014734721090880845
