,0
data_source,Data/Subsets/clustered_0.9_and_restricted_to_phenos_with_less_thn_10_zeros_11042023.csv
avg_neg_mae,-0.2198336829121371
max_depth,200
n_estimators,300
max_features,0.3
max_samples,0.9
bootstrap,True
min_samples_split,40
run_id,d74586c5fce84aaa9c0119df72563f58
