,max_depth,n_estimators,max_features,neg_mae
0,200,300,0.1,-0.2207498676348235
1,200,300,0.15000000000000002,-0.21996021480977243
2,200,300,0.20000000000000004,-0.2207716511610317
3,200,300,0.25000000000000006,-0.22059450873610173
4,200,300,0.30000000000000004,-0.2209855532864383
5,200,300,0.3500000000000001,-0.22059677785341505
6,200,300,0.40000000000000013,-0.22036457151501404
7,200,300,0.45000000000000007,-0.22007306557749043
8,200,300,0.5000000000000001,-0.22024839270856975
9,200,300,0.5500000000000002,-0.22100355495045765
10,200,300,0.6000000000000002,-0.2210099084789351
11,200,300,0.6500000000000001,-0.22029710309356335
12,200,300,0.7000000000000002,-0.22058649118826118
13,200,300,0.7500000000000002,-0.22044126768020578
14,200,300,0.8000000000000002,-0.22089221692761518
15,200,300,0.8500000000000002,-0.22125784736404208
16,200,300,0.9000000000000002,-0.22011572498298165
17,200,300,0.9500000000000003,-0.22101081612586046
18,200,300,1.0000000000000004,
