,labels,en_betas,abs(en_betas)
3778,MFI:469,-0.17578712212445374,0.17578712212445374
3646,P1:10573,-0.05050644074415664,0.05050644074415664
966,P4:5290,0.04338428913567462,0.04338428913567462
570,P5 gd:524,0.04332312161797785,0.04332312161797785
325,P7 Mono:1287,0.040212739533572614,0.040212739533572614
3483,P1:22214,-0.03209880557831812,0.03209880557831812
792,P4:66,0.01769900512539331,0.01769900512539331
783,P4:82,-0.015691895642399093,0.015691895642399093
3944,MFI:131,0.01557880488605371,0.01557880488605371
1144,P4:3231,0.011440697855766676,0.011440697855766676
532,P5 gd:7,0.0016573877017011511,0.0016573877017011511
