,coef_weight_0,coef_weight_1,coef_weight_2,coef_weight_3,coef_weight_4,coef_weight_mean,label,abs(cwm)
13904,-0.036424367375483546,0.0,-0.010937139022162432,0.0,-0.006406992046345573,-0.01075369968879831,P1:22433,0.01075369968879831
5118,-0.008204960730442785,-0.012643354437469563,-0.007747303485447095,-0.009898772552894572,-0.015273946763366384,-0.01075366759392408,P3:384,0.01075366759392408
163,-0.025228257117746077,-0.010597017441525195,0.0,-0.011876952746328837,-0.006052810204377699,-0.010751007501995561,P7:166,0.010751007501995561
1392,-0.02320983570750214,-0.018019731062493636,0.0,-0.012373839546058338,-0.00012290804524664762,-0.01074526287226015,P6:5,0.01074526287226015
7303,-0.020149977741330274,-0.006965576525810002,-0.0021403953586863166,-0.02170978879762902,-0.0027449361069801083,-0.010742134906087145,P2:26236,0.010742134906087145
8511,0.011900215685528499,0.013390072898336528,0.010014792064460733,0.004454224369435767,0.013935407375481415,0.010738942478648587,P2:23885,0.010738942478648587
6491,0.0,0.028750209078734,0.017748597598079324,0.007195234941565688,0.0,0.010738808323675802,P2:7228,0.010738808323675802
2271,-0.024771399651675425,0.0,0.0,-0.028605615038523737,-0.0003100481165251892,-0.010737412561344872,P5 gd:1827,0.010737412561344872
11226,-0.009395881030873783,-0.0022757171098604072,-0.010756152058280639,-0.014525731811042877,-0.01667076040005064,-0.010724848482021671,P1:8298,0.010724848482021671
12420,0.01424935468713145,0.0,0.020504320551887813,0.009723058550560793,0.009144247624538377,0.010724196282823686,P1:3284,0.010724196282823686
2047,-0.018979266413382614,-0.034640860437230345,0.0,0.0,0.0,-0.010724025370122592,P5 gd:298,0.010724025370122592
14943,-0.009769409417306824,-0.017167279365823372,-0.016609124655847983,-0.004697424706902697,-0.005368536462395475,-0.01072235492165527,P1:13377,0.01072235492165527
1855,0.030404387739241905,0.0,0.0,0.02319453075387528,0.0,0.010719783698623437,P5 gd:671,0.010719783698623437
14584,0.0,0.016674967824066363,0.016086992481630258,0.012280683242058539,0.008554059224370598,0.010719340554425152,P1:20448,0.010719340554425152
1730,0.0,-0.007900349698859927,-0.018361161368454327,-0.025792192909186412,-0.0015314431211750743,-0.010717029419535149,P5 gd:860,0.010717029419535149
4742,0.0,-0.01519753814362495,-0.0007559454087122275,-0.01628563448696542,-0.02129949460404505,-0.010707722528669531,P3:483,0.010707722528669531
2127,0.0302758470370011,-0.006690042044398855,-0.034352581135511324,0.0,-0.042770309692433846,-0.010707417167068585,P5 gd:210,0.010707417167068585
14002,-0.021346168662877196,-0.0015286560868371228,-0.001508997487608543,-0.019814331443431026,-0.009330008917804741,-0.010705632519711726,P1:22150,0.010705632519711726
8535,-0.010964797344638262,-0.0033425383689906006,-0.035393748701459705,-0.003804320738012661,0.0,-0.010701081030620245,P2:23846,0.010701081030620245
2632,-0.039411753421740484,-0.03584714248641301,0.01539663174839109,0.005182922987114559,0.0011910943386177393,-0.01069764936680602,P5 NKT:100,0.01069764936680602
2692,-0.010566588216304426,-0.024641079129232787,0.0,-0.003885992256678664,-0.014389082734243256,-0.010696548467291827,P5 CD8:31,0.010696548467291827
9014,0.023812158587326486,0.012909188057688665,0.009234099874519132,0.0,0.00750122215207468,0.010691333734321793,P2:22666,0.010691333734321793
3193,0.020623396257465006,-0.004197668413938574,0.013161506961599366,0.015955293970711045,0.007906443642714985,0.010689794483710364,P4:4472,0.010689794483710364
13732,0.034982661061330134,0.0,0.0,0.006013656479346102,0.01243572731085723,0.010686408970306694,P1:230,0.010686408970306694
13852,-0.0036933330777391485,-0.008761015057571585,-0.008983208589205474,-0.010266912862094505,-0.02170461504628289,-0.01068181692657872,P1:22622,0.01068181692657872
5101,-0.0006827684900598738,0.0,-0.0021588967073325215,-0.01588288926961339,-0.034660089291891946,-0.010676928751779547,P3:3872,0.010676928751779547
3489,-0.010348308137472301,-0.012460420566130328,-0.008617805735365176,-0.01128127598084913,-0.010647986721804066,-0.0106711594283242,P4:3469,0.0106711594283242
10715,0.03636212712540786,0.020525033154695543,0.0,0.004653820176581885,-0.00818906770884862,0.010670382549567333,P1:9940,0.010670382549567333
12075,-0.007258598396126408,-0.010159951033624716,-0.013117795399070596,-0.009698769001335797,-0.013113112077566868,-0.010669645181544877,P1:4806,0.010669645181544877
11266,-0.004239622382797598,0.0,-0.02868198527563732,-0.011552590330208383,-0.008872455943810774,-0.010669330786490815,P1:8191,0.010669330786490815
10885,-0.022848098013820123,-0.011437164688738387,0.0,-0.01903558746135259,0.0,-0.010664170032782219,P1:9427,0.010664170032782219
5863,0.031080616859379556,0.0013944544875567335,0.0,0.004948423289450471,0.01588648755592261,0.010661996438461874,P2:9631,0.010661996438461874
9924,-0.01669562403842225,-0.015582694450820597,-0.0033107982714402893,0.0,-0.01770252321112499,-0.010658327994361626,P2:1952,0.010658327994361626
15077,0.017349511985944296,0.0006990095091825561,0.0,0.01282665990527241,0.022415592911246864,0.010658154862329225,P1:12648,0.010658154862329225
5972,-0.0001728107658763605,-0.020819817635599314,-0.010592474177274208,-0.014476582144205706,-0.007227853868908544,-0.010657907718372826,P2:9298,0.010657907718372826
10926,0.0,0.007467935228263704,0.011737226040896151,0.011815938880127544,0.02226528299509368,0.010657276628876215,P1:933,0.010657276628876215
12026,-0.01203929713719245,0.0,-0.012537567102490396,-0.006022090879031325,-0.022681742587749923,-0.01065613954129282,P1:503,0.01065613954129282
5827,0.016187498635942685,0.0,0.00801497452734532,0.010681386760950809,0.018383276578017204,0.010653427300451204,P2:9729,0.010653427300451204
10228,0.01188886465876088,0.022695175641572536,0.0,0.004158787141161938,0.014506825027367044,0.01064993049377248,P2:12833,0.01064993049377248
9631,-0.02941772721227367,0.0,-0.016054238726945606,-0.007777390037720255,0.0,-0.010649871195387905,P2:21039,0.010649871195387905
4685,-0.006396544397500886,-0.03383353942635176,-0.00417526718228185,-0.008818894236511629,0.0,-0.010644849048529225,P3:5289,0.010644849048529225
6033,-0.0039311596475970195,-0.002921294177775458,-0.013725447505668698,-0.02007572786642064,-0.012551626583954763,-0.010641051156283316,P2:9146,0.010641051156283316
8059,-0.014020563859588733,-0.0011322132616704418,-0.009858530303199308,-0.022894938969667385,-0.005272045119930969,-0.010635658302811369,P2:24925,0.010635658302811369
