,max_depth,n_estimators,max_samples,neg_mae
0,200,300,0.1,-0.2211739656606914
1,200,300,0.2,-0.22065811965811974
2,200,300,0.30000000000000004,-0.22112661674608583
3,200,300,0.4,-0.22021927236971492
4,200,300,0.5,-0.22010339611224572
5,200,300,0.6,-0.22004954239467522
6,200,300,0.7000000000000001,-0.21968534906588016
7,200,300,0.8,-0.22003970955298396
8,200,300,0.9,-0.21941766886014683
