,max_depth,n_estimators,neg_mae
0,1,300,-0.22112896525457623
1,51,300,-0.21995862642765304
2,101,300,-0.21995242417366315
3,151,300,-0.2199136222676046
4,201,300,-0.2198975115346797
5,251,300,-0.21968950911428792
6,301,300,-0.21989055290825207
7,351,300,-0.22018387413962645
8,401,300,-0.21974926253687324
9,451,300,-0.22001225323349222
10,501,300,-0.22003108690719317
11,551,300,-0.22029611980939423
12,601,300,-0.22039278420694355
13,651,300,-0.21973965660691333
14,701,300,-0.21980334316617514
15,751,300,-0.22028046289993197
16,801,300,-0.2197533469480373
17,851,300,-0.21977626503290232
18,901,300,-0.2201365252250209
19,951,300,-0.2200970425837683
20,1001,300,-0.2200033280387263
