,feature,importance_mean,importance_std
0,P4:3799,0.007961576280160384,0.0008350719766740701
1,MFI:469,0.007251594685223008,0.00041933756057659256
2,P1:10610,0.006883367370093025,0.00047964160406833105
3,P4:3796,0.006084638075788537,0.0007420048417692067
4,P1:20127,0.0024438393464942115,0.00023018271755931438
5,P7 Mono:2007,0.0024012303658321283,0.00018311035744220634
6,P2:8981,0.002357738950659312,0.000259634043567142
7,P7:14,0.0016659102942288852,0.00017565857640316094
8,P2:7298,0.0015290068829891812,0.00013312351875606671
9,P4:3087,0.001507324206439245,0.00014650674661047524
10,P2:12652,0.001507324206439245,0.00016480035542744458
11,P1:9841,0.001466101908579777,8.0901998865751e-05
12,P4:5251,0.0014205935002394963,0.0001545589390913104
13,P1:22210,0.0013928598441872732,0.00012729579344998798
14,P5 gd:1992,0.0013859264301742155,0.00010672209905596196
15,P5 gd:596,0.0013453344426795702,0.00015571682022050265
16,P1:20254,0.001329828807704911,0.00017579260025222659
17,P2:23514,0.0012965484204422173,0.00017846690081270688
18,P3:1909,0.0012066661624183684,9.91280836572475e-05
19,P4:4727,0.0012027582381564552,0.00014162831252667073
20,P2:20154,0.0011998588104782672,0.00012140870638886223
21,P1:22430,0.0011759070166149784,0.0001080989442442955
22,P1:22452,0.0011626704989536787,0.00010161424171703901
23,P5 gd:1779,0.0011592668229836428,0.00016338072639142457
24,P4:4730,0.0011388447671633495,0.00019283475941040993
25,P5 gd:1713,0.0010980006555227726,0.0001206645195790312
26,P4:4754,0.001097118221012025,0.00017389352544116
27,P1:20789,0.0010784610342132448,9.686498454730803e-05
28,P5 gd:1783,0.0010171948667523924,0.00012937611195167382
29,P2:20958,0.0010149257494390163,0.00011437026294057276
30,P4:3757,0.0010079923354259584,0.0001341518440712709
31,P1:4404,0.000993999445326875,0.00010611888529821816
32,P6 earlyB:19,0.0009767289413307027,0.00010650089211302646
33,P1:13626,0.0009065123666893466,9.693911119640759e-05
34,P1:5420,0.0008955449663414161,0.000130926493499214
35,P2:10405,0.0008913849179335853,8.955989456867348e-05
36,P1:11706,0.0008836951314827327,0.00011200953920843501
37,P1:21650,0.0008674331240702798,0.0001246593286409908
38,P4:3766,0.0008640294481002453,6.463481670276477e-05
39,P5 gd:1328,0.0008594912134735067,0.00011626696173526329
40,P1:20381,0.0008547008547008447,0.000153557887101756
41,P7 Mono:5169,0.0008540705443360302,8.162799087205178e-05
42,P2:4506,0.0008359176058290923,0.00011058949379720653
43,P6 earlyB:234,0.0008327660540049783,9.531860025730828e-05
44,P2:22791,0.0008191513501247972,8.734164124026446e-05
45,P1:10609,0.0008175125431762562,8.078454619057723e-05
46,P1:22904,0.0008073015152661178,9.230670947829989e-05
47,P5 gd:407,0.000807175453193143,9.57525053116034e-05
48,P2:25708,0.0007833497214028068,0.00011114815122512268
49,MFI:478,0.0007788114867760779,6.989525248946793e-05
50,P3:4761,0.0007712477623981987,0.0001137842723107052
51,P1:7442,0.0007514560169427393,9.296246688969506e-05
52,P1:6753,0.0007509517686508746,0.00010447960420108742
53,P1:23185,0.0007413710511055688,9.342798637822331e-05
54,P5 gd:2076,0.0007288909058820528,0.0001128305554201129
55,P1:20711,0.0007273781610064825,7.550265782918938e-05
56,P2:13404,0.0007273781610064756,8.297527834896695e-05
57,P7:257,0.0007160325744396456,0.00014212513395929797
58,P5 gd:390,0.0007017875601946236,5.50793169791874e-05
59,P1:23402,0.0006961147669112183,6.27804311382216e-05
60,P1:3974,0.0006954844565464039,8.904311334286089e-05
61,P5 gd:2093,0.0006819958147391766,7.536361433898729e-05
62,P1:23429,0.0006669944280563708,8.296464816026514e-05
63,P3:99,0.0006589264553866214,0.0001076868979310834
64,MFI:224,0.0006577918967299437,0.00011986746624917413
65,P3:8135,0.0006551445931976971,9.640419309251331e-05
66,P7 Mono:4724,0.0006432947583390012,8.370948802127723e-05
67,P4:6208,0.000637748027128554,5.632718065199593e-05
68,P2:1421,0.0006332097925018223,9.394297586652449e-05
69,P7 Mono:4153,0.0006276630612913697,8.10284996311639e-05
70,P2:7854,0.0006194690265486774,7.375913326797273e-05
71,P4:5973,0.000612157426316709,7.228799819662595e-05
72,P5 gd:967,0.00061001437107632,5.899502988737471e-05
73,P2:9961,0.0006097622469303773,8.294089290626457e-05
74,P1:10941,0.00060119002596878,6.585811352203661e-05
75,P2:11983,0.0005953911706123958,9.112474353904433e-05
76,P4:2744,0.0005940044878097906,8.094677270379241e-05
77,P2:20637,0.0005916093084234658,5.583012972573742e-05
78,P4:5093,0.000587449260015628,9.279744212326419e-05
79,P1:22822,0.0005873231979426713,4.468878261214817e-05
80,P4:3473,0.0005873231979426671,5.6084023114159614e-05
81,P1:9619,0.0005830370874618546,9.04669954840792e-05
82,P7:125,0.0005757254872299,8.859760513418555e-05
83,P5 CD8:74,0.0005752212389380493,0.00013670622469397068
84,P4:3198,0.0005699266318735172,0.0001749716596296939
85,P1:3699,0.0005681617628520208,5.5283788731913704e-05
86,P1:6926,0.0005679096387060905,7.255581432075776e-05
87,P2:11059,0.0005632453420064021,7.305468435844308e-05
88,P1:22833,0.0005627410937145249,7.637572412422538e-05
89,P2:20975,0.0005623629074956394,8.006966311296025e-05
90,P2:5909,0.0005569422383581588,6.042516920584834e-05
91,P7 Mono:6399,0.0005542949348258982,7.344357329598045e-05
92,P1:3125,0.0005498827622721358,5.501508317104352e-05
93,P5 gd:457,0.0005418147896023989,7.631660881115551e-05
94,P7 Mono:467,0.0005261830925547606,6.808565762949061e-05
95,P4:5362,0.0005021052366185067,8.7817503830808e-05
96,P5 gd:1666,0.0004987015606484554,8.10358539533321e-05
97,P5 gd:1558,0.0004980712502836313,0.0001060023132548857
98,P1:6131,0.0004961803191891698,5.974650738788438e-05
99,P2:7588,0.0004954239467513749,7.310513409170841e-05
100,P2:5798,0.0004949196984595158,6.263192097091049e-05
101,P7 Mono:4206,0.0004949196984595117,4.8336874090218045e-05
102,P1:2271,0.0004847086705493761,6.104906497625341e-05
103,P2:22053,0.0004813049945793263,8.420493544235698e-05
104,P2:9564,0.00047424551849329505,6.371511894305237e-05
105,P7 Mono:1551,0.00046932909764767217,8.712348593690851e-05
106,P1:6765,0.00045697501449712684,5.9850284216237775e-05
107,P1:7782,0.0004478985452436718,5.9171474472745056e-05
108,P2:20816,0.00044676398658699545,5.65348694029305e-05
109,P4:4589,0.00044449486927362615,7.487110832184156e-05
110,P1:9867,0.00044071300708468236,7.502801142091047e-05
111,P7 Mono:1849,0.00043831782769834934,0.00010287785129752187
