,alpha,l1_ratio,mae
0,0.001,0.2,-0.2396229331196303
1,0.001,0.21000000000000002,-0.23978521196744051
2,0.001,0.22000000000000003,-0.23994797771417029
3,0.001,0.23000000000000004,-0.24010325745229186
4,0.001,0.24000000000000005,-0.24024314582357803
5,0.001,0.25000000000000006,-0.24038261058837157
6,0.001,0.26000000000000006,-0.2405181980524402
7,0.001,0.2700000000000001,-0.24061610431863328
8,0.001,0.2800000000000001,-0.2407128100385119
9,0.001,0.2900000000000001,-0.24079295779651472
10,0.001,0.3000000000000001,-0.24086561822190872
11,0.001,0.3100000000000001,-0.24090975296495204
12,0.001,0.3200000000000001,-0.24095424455691886
13,0.001,0.3300000000000001,-0.24099989282546697
14,0.001,0.34000000000000014,-0.24103687505197355
15,0.001,0.35000000000000014,-0.24104515082584405
16,0.001,0.36000000000000015,-0.2410404780548271
17,0.001,0.37000000000000016,-0.24104644656924454
18,0.001,0.38000000000000017,-0.24105139797779573
19,0.001,0.3900000000000002,-0.24105395321813497
20,0.001,0.4000000000000002,-0.241045440793663
21,0.001,0.4100000000000002,-0.24103134318965377
22,0.001,0.4200000000000002,-0.24102188400520683
23,0.001,0.4300000000000002,-0.2410210638912115
24,0.001,0.4400000000000002,-0.24101679271885781
25,0.001,0.45000000000000023,-0.24101326326043868
26,0.001,0.46000000000000024,-0.24100433416282965
27,0.001,0.47000000000000025,-0.24099069569142947
28,0.001,0.48000000000000026,-0.24096398375585965
29,0.001,0.49000000000000027,-0.24093017710469994
30,0.001,0.5000000000000002,-0.2408979412508274
31,0.001,0.5100000000000002,-0.24087120374422769
32,0.001,0.5200000000000002,-0.24085320617644249
33,0.001,0.5300000000000002,-0.2408347753789673
34,0.001,0.5400000000000003,-0.24081583469880163
35,0.001,0.5500000000000003,-0.24079967571449032
36,0.001,0.5600000000000003,-0.24078027940388586
37,0.001,0.5700000000000003,-0.24074953068868332
38,0.001,0.5800000000000003,-0.24070506534374977
39,0.001,0.5900000000000003,-0.2406592397284492
40,0.001,0.6000000000000003,-0.2406042270383845
41,0.001,0.6100000000000003,-0.24055101982917615
42,0.001,0.6200000000000003,-0.240491700210234
43,0.001,0.6300000000000003,-0.24042338876793456
44,0.001,0.6400000000000003,-0.2403513884439717
45,0.001,0.6500000000000004,-0.24029047632976147
46,0.001,0.6600000000000004,-0.24023941123466322
47,0.001,0.6700000000000004,-0.24019944370694873
48,0.001,0.6800000000000004,-0.24015537765376785
49,0.001,0.6900000000000004,-0.2401187910635972
50,0.001,0.7000000000000004,-0.24009092619676378
51,0.001,0.7100000000000004,-0.24007256698488214
52,0.001,0.7200000000000004,-0.24005248309335528
53,0.001,0.7300000000000004,-0.24002225895755466
54,0.001,0.7400000000000004,-0.23999118871221445
55,0.001,0.7500000000000004,-0.23995966038032296
56,0.001,0.7600000000000005,-0.23992653973730604
57,0.001,0.7700000000000005,-0.23989432601446745
58,0.001,0.7800000000000005,-0.2398635952066964
59,0.001,0.7900000000000005,-0.23984165783545502
60,0.001,0.8000000000000005,-0.23981436868633535
61,0.001,0.8100000000000005,-0.2397833988311924
62,0.001,0.8200000000000005,-0.2397547806544508
63,0.001,0.8300000000000005,-0.2397254349827863
64,0.001,0.8400000000000005,-0.23969707485146693
65,0.001,0.8500000000000005,-0.23967082704869516
66,0.001,0.8600000000000005,-0.239639241833833
67,0.001,0.8700000000000006,-0.2396041399325496
68,0.001,0.8800000000000006,-0.23956104072837606
69,0.001,0.8900000000000006,-0.23951276636867166
70,0.001,0.9000000000000006,-0.23946631855596104
71,0.001,0.9100000000000006,-0.2394184759079622
72,0.001,0.9200000000000006,-0.2393655970874106
73,0.001,0.9300000000000006,-0.23931835471671584
74,0.001,0.9400000000000006,-0.23927193956487922
75,0.001,0.9500000000000006,-0.23922799582484097
